Species,UTC Date, Local Date, Local Time, Score, Count
American Robin,2024-04-21T23:52:54Z,21-Apr-2024,19:52:54,0.26,1
American Robin,2024-04-21T23:52:45Z,21-Apr-2024,19:52:45,0.71,1
American Robin,2024-04-21T23:52:42Z,21-Apr-2024,19:52:42,0.9333,6
American Robin,2024-04-21T23:52:31Z,21-Apr-2024,19:52:31,0.58,1
American Robin,2024-04-21T23:51:37Z,21-Apr-2024,19:51:37,0.8549,6
American Robin,2024-04-21T23:50:24Z,21-Apr-2024,19:50:24,0.9686,2
American Robin,2024-04-21T23:50:18Z,21-Apr-2024,19:50:18,0.29,1
American Robin,2024-04-21T23:50:02Z,21-Apr-2024,19:50:02,0.35,1
American Robin,2024-04-21T23:49:53Z,21-Apr-2024,19:49:53,0.37,1
American Robin,2024-04-21T23:49:46Z,21-Apr-2024,19:49:46,0.35,1
American Robin,2024-04-21T23:49:36Z,21-Apr-2024,19:49:36,0.34,1
American Robin,2024-04-21T23:49:27Z,21-Apr-2024,19:49:27,0.37,1
American Robin,2024-04-21T23:49:20Z,21-Apr-2024,19:49:20,0.58,1
American Robin,2024-04-21T23:49:11Z,21-Apr-2024,19:49:11,0.7882,3
American Robin,2024-04-21T23:48:58Z,21-Apr-2024,19:48:58,0.34,1
American Robin,2024-04-21T23:48:51Z,21-Apr-2024,19:48:51,0.29,1
American Robin,2024-04-21T23:47:21Z,21-Apr-2024,19:47:21,0.38,1
American Robin,2024-04-21T23:46:12Z,21-Apr-2024,19:46:12,0.49,1
American Robin,2024-04-21T23:46:06Z,21-Apr-2024,19:46:06,0.41,1
American Robin,2024-04-21T23:46:03Z,21-Apr-2024,19:46:03,0.9098,13
American Robin,2024-04-21T23:45:31Z,21-Apr-2024,19:45:31,0.32,1
American Robin,2024-04-21T23:44:55Z,21-Apr-2024,19:44:55,0.902,6
American Robin,2024-04-21T23:44:51Z,21-Apr-2024,19:44:51,0.38,1
American Robin,2024-04-21T23:43:46Z,21-Apr-2024,19:43:46,0.8392,1
American Robin,2024-04-21T23:41:46Z,21-Apr-2024,19:41:46,0.8078,1
Canada Goose,2024-04-21T23:38:49Z,21-Apr-2024,19:38:49,0.73,1
American Robin,2024-04-21T23:30:40Z,21-Apr-2024,19:30:40,0.8784,1
American Robin,2024-04-21T23:30:36Z,21-Apr-2024,19:30:36,0.26,1
American Robin,2024-04-21T23:27:47Z,21-Apr-2024,19:27:47,0.8235,1
Eastern Bluebird,2024-04-21T23:26:22Z,21-Apr-2024,19:26:22,0.5,1
Osprey,2024-04-21T23:25:52Z,21-Apr-2024,19:25:52,0.9098,1
Red-shouldered Hawk,2024-04-21T23:24:29Z,21-Apr-2024,19:24:29,0.48,1
Osprey,2024-04-21T23:24:13Z,21-Apr-2024,19:24:13,0.8235,1
American Robin,2024-04-21T23:15:43Z,21-Apr-2024,19:15:43,0.8392,7
Chipping Sparrow,2024-04-21T23:14:47Z,21-Apr-2024,19:14:47,0.88,1
American Robin,2024-04-21T23:14:40Z,21-Apr-2024,19:14:40,0.8667,9
American Robin,2024-04-21T23:14:19Z,21-Apr-2024,19:14:19,0.37,1
American Robin,2024-04-21T23:13:39Z,21-Apr-2024,19:13:39,0.8667,1
American Robin,2024-04-21T23:13:30Z,21-Apr-2024,19:13:30,0.39,1
Chipping Sparrow,2024-04-21T23:13:24Z,21-Apr-2024,19:13:24,0.86,1
Chipping Sparrow,2024-04-21T23:13:16Z,21-Apr-2024,19:13:16,0.85,1
American Robin,2024-04-21T23:10:04Z,21-Apr-2024,19:10:04,0.6,1
American Robin,2024-04-21T23:09:19Z,21-Apr-2024,19:09:19,0.9569,1
American Robin,2024-04-21T23:06:54Z,21-Apr-2024,19:06:54,0.9294,11
Red-shouldered Hawk,2024-04-21T23:06:17Z,21-Apr-2024,19:06:17,0.33,1
American Robin,2024-04-21T23:03:08Z,21-Apr-2024,19:03:08,0.8235,4
American Robin,2024-04-21T23:01:41Z,21-Apr-2024,19:01:41,0.9412,1
