Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
American Woodcock,Scolopax minor,2026-04-18T23:59:01Z,18-Apr-2026,19:59:01,0.68,1
American Woodcock,Scolopax minor,2026-04-18T23:57:15Z,18-Apr-2026,19:57:15,0.95,1
American Woodcock,Scolopax minor,2026-04-18T23:54:09Z,18-Apr-2026,19:54:09,0.52,1
American Woodcock,Scolopax minor,2026-04-18T23:52:52Z,18-Apr-2026,19:52:52,0.86,1
American Woodcock,Scolopax minor,2026-04-18T23:51:00Z,18-Apr-2026,19:51:00,0.34,1
American Woodcock,Scolopax minor,2026-04-18T23:42:49Z,18-Apr-2026,19:42:49,0.91,1
American Woodcock,Scolopax minor,2026-04-18T23:40:20Z,18-Apr-2026,19:40:20,0.82,1
American Robin,Turdus migratorius,2026-04-18T23:24:51Z,18-Apr-2026,19:24:51,0.7804,1
American Robin,Turdus migratorius,2026-04-18T23:11:38Z,18-Apr-2026,19:11:38,0.8157,1
Northern Cardinal,Cardinalis cardinalis,2026-04-18T23:05:32Z,18-Apr-2026,19:05:32,0.9255,1
American Robin,Turdus migratorius,2026-04-18T22:34:58Z,18-Apr-2026,18:34:58,0.9647,1
American Robin,Turdus migratorius,2026-04-18T22:32:06Z,18-Apr-2026,18:32:06,0.37,1
European Starling,Sturnus vulgaris,2026-04-18T22:22:32Z,18-Apr-2026,18:22:32,0.8471,1
Northern Flicker,Colaptes auratus,2026-04-18T22:22:07Z,18-Apr-2026,18:22:07,0.54,1
Northern Flicker,Colaptes auratus,2026-04-18T22:19:56Z,18-Apr-2026,18:19:56,0.27,1
Northern Flicker,Colaptes auratus,2026-04-18T22:17:28Z,18-Apr-2026,18:17:28,0.54,1
Northern Flicker,Colaptes auratus,2026-04-18T22:15:12Z,18-Apr-2026,18:15:12,0.35,1
American Robin,Turdus migratorius,2026-04-18T22:09:38Z,18-Apr-2026,18:09:38,0.33,1
American Robin,Turdus migratorius,2026-04-18T22:06:57Z,18-Apr-2026,18:06:57,0.8157,1
Bohemian Waxwing,Bombycilla garrulus,2026-04-18T22:06:23Z,18-Apr-2026,18:06:23,0.27,1
Pine Siskin,Spinus pinus,2026-04-18T22:06:16Z,18-Apr-2026,18:06:16,0.34,1
