Species,UTC Date, Local Date, Local Time, Score, Count
American Robin,2024-05-06T23:59:10Z,06-May-2024,19:59:10,0.48,1
American Robin,2024-05-06T23:58:46Z,06-May-2024,19:58:46,0.41,1
American Robin,2024-05-06T23:58:43Z,06-May-2024,19:58:43,0.8235,10
American Robin,2024-05-06T23:57:41Z,06-May-2024,19:57:41,0.8078,7
American Robin,2024-05-06T23:57:37Z,06-May-2024,19:57:37,0.74,1
American Robin,2024-05-06T23:57:27Z,06-May-2024,19:57:27,0.52,1
American Robin,2024-05-06T23:57:21Z,06-May-2024,19:57:21,0.32,1
American Robin,2024-05-06T23:56:33Z,06-May-2024,19:56:33,0.8549,1
American Robin,2024-05-06T23:55:33Z,06-May-2024,19:55:33,0.33,1
Red-bellied Woodpecker,2024-05-06T23:47:39Z,06-May-2024,19:47:39,0.8667,1
Chipping Sparrow,2024-05-06T23:45:06Z,06-May-2024,19:45:06,0.53,1
American Robin,2024-05-06T23:44:13Z,06-May-2024,19:44:13,0.9333,4
American Robin,2024-05-06T23:43:54Z,06-May-2024,19:43:54,0.39,1
American Robin,2024-05-06T23:43:12Z,06-May-2024,19:43:12,0.8902,1
American Robin,2024-05-06T23:41:17Z,06-May-2024,19:41:17,0.9569,3
Rose-breasted Grosbeak,2024-05-06T23:40:39Z,06-May-2024,19:40:39,0.28,1
White-crowned Sparrow,2024-05-06T23:40:21Z,06-May-2024,19:40:21,0.34,1
American Robin,2024-05-06T23:40:04Z,06-May-2024,19:40:04,0.8078,11
American Robin,2024-05-06T23:38:59Z,06-May-2024,19:38:59,0.37,1
American Robin,2024-05-06T23:38:53Z,06-May-2024,19:38:53,0.35,1
American Robin,2024-05-06T23:38:49Z,06-May-2024,19:38:49,0.8549,12
American Robin,2024-05-06T23:38:30Z,06-May-2024,19:38:30,0.29,1
Chipping Sparrow,2024-05-06T23:38:21Z,06-May-2024,19:38:21,0.42,1
American Robin,2024-05-06T23:37:48Z,06-May-2024,19:37:48,0.9412,19
American Robin,2024-05-06T23:36:45Z,06-May-2024,19:36:45,0.9333,18
American Robin,2024-05-06T23:35:43Z,06-May-2024,19:35:43,0.9333,1
Chipping Sparrow,2024-05-06T23:33:13Z,06-May-2024,19:33:13,0.69,1
