Species,UTC Date, Local Date, Local Time, Score, Count
Hairy Woodpecker,2024-03-06T21:36:17Z,06-Mar-2024,16:36:17,0.9,1
Hairy Woodpecker,2024-03-06T21:20:26Z,06-Mar-2024,16:20:26,0.76,1
Hairy Woodpecker,2024-03-06T21:18:14Z,06-Mar-2024,16:18:14,0.91,1
Hairy Woodpecker,2024-03-06T21:18:07Z,06-Mar-2024,16:18:07,0.94,1
Hairy Woodpecker,2024-03-06T21:18:01Z,06-Mar-2024,16:18:01,0.83,1
Hairy Woodpecker,2024-03-06T21:17:54Z,06-Mar-2024,16:17:54,0.97,1
Hairy Woodpecker,2024-03-06T21:17:48Z,06-Mar-2024,16:17:48,0.87,1
Hairy Woodpecker,2024-03-06T21:17:41Z,06-Mar-2024,16:17:41,0.71,1
Hairy Woodpecker,2024-03-06T21:17:35Z,06-Mar-2024,16:17:35,0.9,1
Hairy Woodpecker,2024-03-06T21:13:24Z,06-Mar-2024,16:13:24,0.81,1
Hairy Woodpecker,2024-03-06T21:13:18Z,06-Mar-2024,16:13:18,0.45,1
Hairy Woodpecker,2024-03-06T21:13:08Z,06-Mar-2024,16:13:08,0.75,1
Hairy Woodpecker,2024-03-06T21:13:02Z,06-Mar-2024,16:13:02,0.89,1
Hairy Woodpecker,2024-03-06T21:12:56Z,06-Mar-2024,16:12:56,0.93,1
Hairy Woodpecker,2024-03-06T21:12:49Z,06-Mar-2024,16:12:49,0.66,1
Hairy Woodpecker,2024-03-06T21:12:36Z,06-Mar-2024,16:12:36,0.89,1
Hairy Woodpecker,2024-03-06T21:12:30Z,06-Mar-2024,16:12:30,0.42,1
Hairy Woodpecker,2024-03-06T21:12:23Z,06-Mar-2024,16:12:23,0.29,1
Hairy Woodpecker,2024-03-06T21:12:14Z,06-Mar-2024,16:12:14,0.83,1
Hairy Woodpecker,2024-03-06T21:12:07Z,06-Mar-2024,16:12:07,0.3,1
Hairy Woodpecker,2024-03-06T21:11:58Z,06-Mar-2024,16:11:58,0.83,1
Hairy Woodpecker,2024-03-06T21:11:49Z,06-Mar-2024,16:11:49,0.92,1
Hairy Woodpecker,2024-03-06T21:11:42Z,06-Mar-2024,16:11:42,0.42,1
Hairy Woodpecker,2024-03-06T21:11:36Z,06-Mar-2024,16:11:36,0.88,1
Hairy Woodpecker,2024-03-06T21:11:30Z,06-Mar-2024,16:11:30,0.9,1
Hairy Woodpecker,2024-03-06T21:11:23Z,06-Mar-2024,16:11:23,0.81,1
Hairy Woodpecker,2024-03-06T21:11:17Z,06-Mar-2024,16:11:17,0.91,1
Common Grackle,2024-03-06T21:02:14Z,06-Mar-2024,16:02:14,0.8392,1
White-breasted Nuthatch,2024-03-06T20:36:17Z,06-Mar-2024,15:36:17,0.5,1
Pileated Woodpecker,2024-03-06T19:51:50Z,06-Mar-2024,14:51:50,0.94,1
Hairy Woodpecker,2024-03-06T19:49:40Z,06-Mar-2024,14:49:40,0.62,1
Hairy Woodpecker,2024-03-06T19:49:33Z,06-Mar-2024,14:49:33,0.92,1
Hairy Woodpecker,2024-03-06T19:49:26Z,06-Mar-2024,14:49:26,0.48,1
Blue Jay,2024-03-06T19:40:20Z,06-Mar-2024,14:40:20,0.8667,1
Blue Jay,2024-03-06T19:37:47Z,06-Mar-2024,14:37:47,0.29,1
Blue Jay,2024-03-06T19:37:20Z,06-Mar-2024,14:37:20,0.7882,13
Blue Jay,2024-03-06T19:36:44Z,06-Mar-2024,14:36:44,0.41,1
Blue Jay,2024-03-06T19:36:05Z,06-Mar-2024,14:36:05,0.9294,11
Blue Jay,2024-03-06T19:35:44Z,06-Mar-2024,14:35:44,0.34,1
Blue Jay,2024-03-06T19:35:02Z,06-Mar-2024,14:35:02,0.8902,5
White-breasted Nuthatch,2024-03-06T19:33:11Z,06-Mar-2024,14:33:11,0.81,1
Blue Jay,2024-03-06T19:32:05Z,06-Mar-2024,14:32:05,0.9412,1
Hairy Woodpecker,2024-03-06T19:27:20Z,06-Mar-2024,14:27:20,0.74,1
White-breasted Nuthatch,2024-03-06T19:25:32Z,06-Mar-2024,14:25:32,0.87,1
White-breasted Nuthatch,2024-03-06T19:24:42Z,06-Mar-2024,14:24:42,0.66,1
White-breasted Nuthatch,2024-03-06T19:24:35Z,06-Mar-2024,14:24:35,0.75,1
