Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Northern Cardinal,Cardinalis cardinalis,2026-02-01T23:52:10Z,01-Feb-2026,18:52:10,0.8314,1
Northern Cardinal,Cardinalis cardinalis,2026-02-01T23:41:24Z,01-Feb-2026,18:41:24,0.8,1
Northern Cardinal,Cardinalis cardinalis,2026-02-01T23:32:47Z,01-Feb-2026,18:32:47,0.7804,1
Northern Cardinal,Cardinalis cardinalis,2026-02-01T23:30:37Z,01-Feb-2026,18:30:37,0.7804,1
Northern Cardinal,Cardinalis cardinalis,2026-02-01T23:28:20Z,01-Feb-2026,18:28:20,0.8314,1
Northern Cardinal,Cardinalis cardinalis,2026-02-01T22:51:08Z,01-Feb-2026,17:51:08,0.7804,1
American Goldfinch,Spinus tristis,2026-02-01T19:11:01Z,01-Feb-2026,14:11:01,0.8,1
Hairy Woodpecker,Dryobates villosus,2026-02-01T17:55:50Z,01-Feb-2026,12:55:50,0.74,1
Hairy Woodpecker,Dryobates villosus,2026-02-01T17:55:44Z,01-Feb-2026,12:55:44,0.29,1
Hairy Woodpecker,Dryobates villosus,2026-02-01T17:55:28Z,01-Feb-2026,12:55:28,0.8,1
Hairy Woodpecker,Dryobates villosus,2026-02-01T17:54:30Z,01-Feb-2026,12:54:30,0.55,1
Black-capped Chickadee,Poecile atricapillus,2026-02-01T17:16:34Z,01-Feb-2026,12:16:34,0.8627,1
Black-capped Chickadee,Poecile atricapillus,2026-02-01T17:13:10Z,01-Feb-2026,12:13:10,0.36,1
Black-capped Chickadee,Poecile atricapillus,2026-02-01T17:12:34Z,01-Feb-2026,12:12:34,0.34,1
Downy Woodpecker,Dryobates pubescens,2026-02-01T16:23:37Z,01-Feb-2026,11:23:37,0.7804,1
Black-capped Chickadee,Poecile atricapillus,2026-02-01T16:23:06Z,01-Feb-2026,11:23:06,0.8471,1
Evening Grosbeak,Coccothraustes vespertinus,2026-02-01T15:08:49Z,01-Feb-2026,10:08:49,0.45,1
Blue Jay,Cyanocitta cristata,2026-02-01T14:58:00Z,01-Feb-2026,09:58:00,0.8471,1
Hairy Woodpecker,Dryobates villosus,2026-02-01T14:07:43Z,01-Feb-2026,09:07:43,0.61,1
Brown Creeper,Certhia americana,2026-02-01T14:03:45Z,01-Feb-2026,09:03:45,0.61,1
Brown Creeper,Certhia americana,2026-02-01T14:01:23Z,01-Feb-2026,09:01:23,0.34,1
American Crow,Corvus brachyrhynchos,2026-02-01T13:46:39Z,01-Feb-2026,08:46:39,0.8627,1
American Crow,Corvus brachyrhynchos,2026-02-01T13:39:12Z,01-Feb-2026,08:39:12,0.7804,1
Blue Jay,Cyanocitta cristata,2026-02-01T12:52:16Z,01-Feb-2026,07:52:16,0.28,1
