Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Peregrine Falcon,Falco peregrinus,2024-11-21T20:15:07Z,21-Nov-2024,15:15:07,0.26,1
Blue Jay,Cyanocitta cristata,2024-11-21T19:38:09Z,21-Nov-2024,14:38:09,0.9098,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T19:36:01Z,21-Nov-2024,14:36:01,0.51,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T19:35:32Z,21-Nov-2024,14:35:32,0.66,1
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:35:22Z,21-Nov-2024,14:35:22,0.9176,4
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T19:34:55Z,21-Nov-2024,14:34:55,0.27,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T19:34:29Z,21-Nov-2024,14:34:29,0.54,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T19:34:19Z,21-Nov-2024,14:34:19,0.72,1
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:32:56Z,21-Nov-2024,14:32:56,0.7804,3
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T19:32:11Z,21-Nov-2024,14:32:11,0.42,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T19:32:02Z,21-Nov-2024,14:32:02,0.72,1
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:31:55Z,21-Nov-2024,14:31:55,0.8314,1
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:30:34Z,21-Nov-2024,14:30:34,0.9098,3
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:29:24Z,21-Nov-2024,14:29:24,0.7804,1
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:15:42Z,21-Nov-2024,14:15:42,0.8627,1
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:13:46Z,21-Nov-2024,14:13:46,0.8,4
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:12:36Z,21-Nov-2024,14:12:36,0.8157,2
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:10:37Z,21-Nov-2024,14:10:37,0.9176,2
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:09:16Z,21-Nov-2024,14:09:16,0.8471,3
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:07:33Z,21-Nov-2024,14:07:33,0.8157,1
Black-capped Chickadee,Poecile atricapillus,2024-11-21T19:01:54Z,21-Nov-2024,14:01:54,0.8471,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:58:48Z,21-Nov-2024,13:58:48,0.8627,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:56:21Z,21-Nov-2024,13:56:21,0.9255,15
Blue Jay,Cyanocitta cristata,2024-11-21T18:55:54Z,21-Nov-2024,13:55:54,0.3,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:55:18Z,21-Nov-2024,13:55:18,0.9098,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:53:03Z,21-Nov-2024,13:53:03,0.38,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:49:55Z,21-Nov-2024,13:49:55,0.9098,1
Tufted Titmouse,Baeolophus bicolor,2024-11-21T18:43:57Z,21-Nov-2024,13:43:57,0.7804,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:38:51Z,21-Nov-2024,13:38:51,0.27,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:17:18Z,21-Nov-2024,13:17:18,0.8745,10
Blue Jay,Cyanocitta cristata,2024-11-21T18:14:10Z,21-Nov-2024,13:14:10,0.8863,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:01:02Z,21-Nov-2024,13:01:02,0.8471,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:00:56Z,21-Nov-2024,13:00:56,0.3,1
Blue Jay,Cyanocitta cristata,2024-11-21T18:00:49Z,21-Nov-2024,13:00:49,0.39,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:59:46Z,21-Nov-2024,12:59:46,0.898,2
Blue Jay,Cyanocitta cristata,2024-11-21T17:58:29Z,21-Nov-2024,12:58:29,0.46,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:58:11Z,21-Nov-2024,12:58:11,0.9412,5
Blue Jay,Cyanocitta cristata,2024-11-21T17:58:07Z,21-Nov-2024,12:58:07,0.36,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:57:58Z,21-Nov-2024,12:57:58,0.28,1
Red-tailed Hawk,Buteo jamaicensis,2024-11-21T17:57:25Z,21-Nov-2024,12:57:25,0.31,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:57:09Z,21-Nov-2024,12:57:09,0.8627,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:55:38Z,21-Nov-2024,12:55:38,0.8157,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:55:16Z,21-Nov-2024,12:55:16,0.74,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:54:21Z,21-Nov-2024,12:54:21,0.9176,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:51:23Z,21-Nov-2024,12:51:23,0.8314,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:30:11Z,21-Nov-2024,12:30:11,0.27,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:30:04Z,21-Nov-2024,12:30:04,0.52,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:29:55Z,21-Nov-2024,12:29:55,0.69,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:29:48Z,21-Nov-2024,12:29:48,0.35,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:29:42Z,21-Nov-2024,12:29:42,0.37,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:29:34Z,21-Nov-2024,12:29:34,0.55,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:29:21Z,21-Nov-2024,12:29:21,0.45,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:29:06Z,21-Nov-2024,12:29:06,0.45,1
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:28:59Z,21-Nov-2024,12:28:59,0.28,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:28:53Z,21-Nov-2024,12:28:53,0.8157,4
Cooper's Hawk,Accipiter cooperii,2024-11-21T17:28:46Z,21-Nov-2024,12:28:46,0.32,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:26:47Z,21-Nov-2024,12:26:47,0.9098,3
Blue Jay,Cyanocitta cristata,2024-11-21T17:25:26Z,21-Nov-2024,12:25:26,0.28,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:24:39Z,21-Nov-2024,12:24:39,0.7804,2
Blue Jay,Cyanocitta cristata,2024-11-21T17:24:27Z,21-Nov-2024,12:24:27,0.71,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:24:15Z,21-Nov-2024,12:24:15,0.5,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:23:27Z,21-Nov-2024,12:23:27,0.898,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:22:13Z,21-Nov-2024,12:22:13,0.9176,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:21:05Z,21-Nov-2024,12:21:05,0.53,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:20:10Z,21-Nov-2024,12:20:10,0.74,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:18:40Z,21-Nov-2024,12:18:40,0.69,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:18:19Z,21-Nov-2024,12:18:19,0.72,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:18:05Z,21-Nov-2024,12:18:05,0.83,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:17:25Z,21-Nov-2024,12:17:25,0.48,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:17:18Z,21-Nov-2024,12:17:18,0.41,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:15:09Z,21-Nov-2024,12:15:09,0.47,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:14:01Z,21-Nov-2024,12:14:01,0.6,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:13:54Z,21-Nov-2024,12:13:54,0.37,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:13:45Z,21-Nov-2024,12:13:45,0.26,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:13:38Z,21-Nov-2024,12:13:38,0.42,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:13:31Z,21-Nov-2024,12:13:31,0.38,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:13:24Z,21-Nov-2024,12:13:24,0.4,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:13:03Z,21-Nov-2024,12:13:03,0.73,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:10:39Z,21-Nov-2024,12:10:39,0.38,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:10:27Z,21-Nov-2024,12:10:27,0.3,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:08:51Z,21-Nov-2024,12:08:51,0.7804,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:06:45Z,21-Nov-2024,12:06:45,0.8471,2
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:05:54Z,21-Nov-2024,12:05:54,0.45,1
Eastern Bluebird,Sialia sialis,2024-11-21T17:04:54Z,21-Nov-2024,12:04:54,0.52,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:04:10Z,21-Nov-2024,12:04:10,0.8314,2
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:03:12Z,21-Nov-2024,12:03:12,0.82,1
White-breasted Nuthatch,Sitta carolinensis,2024-11-21T17:03:05Z,21-Nov-2024,12:03:05,0.41,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-21T17:02:42Z,21-Nov-2024,12:02:42,0.33,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:02:25Z,21-Nov-2024,12:02:25,0.27,1
Blue Jay,Cyanocitta cristata,2024-11-21T17:02:15Z,21-Nov-2024,12:02:15,0.8745,1
Tufted Titmouse,Baeolophus bicolor,2024-11-21T17:00:00Z,21-Nov-2024,12:00:00,0.27,1
Tufted Titmouse,Baeolophus bicolor,2024-11-21T16:59:53Z,21-Nov-2024,11:59:53,0.72,1
Tufted Titmouse,Baeolophus bicolor,2024-11-21T16:59:38Z,21-Nov-2024,11:59:38,0.31,1
Eastern Bluebird,Sialia sialis,2024-11-21T16:58:57Z,21-Nov-2024,11:58:57,0.27,1
Tufted Titmouse,Baeolophus bicolor,2024-11-21T16:56:58Z,21-Nov-2024,11:56:58,0.44,1
Blue Jay,Cyanocitta cristata,2024-11-21T16:53:36Z,21-Nov-2024,11:53:36,0.898,5
Tufted Titmouse,Baeolophus bicolor,2024-11-21T16:52:26Z,21-Nov-2024,11:52:26,0.35,1
Blue Jay,Cyanocitta cristata,2024-11-21T16:52:09Z,21-Nov-2024,11:52:09,0.38,1
Blue Jay,Cyanocitta cristata,2024-11-21T16:51:09Z,21-Nov-2024,11:51:09,0.8,6
Blue Jay,Cyanocitta cristata,2024-11-21T16:48:01Z,21-Nov-2024,11:48:01,0.27,1
Blue Jay,Cyanocitta cristata,2024-11-21T16:47:29Z,21-Nov-2024,11:47:29,0.9098,1
Blue Jay,Cyanocitta cristata,2024-11-21T16:47:23Z,21-Nov-2024,11:47:23,0.44,1
Blue Jay,Cyanocitta cristata,2024-11-21T16:47:15Z,21-Nov-2024,11:47:15,0.32,1
Blue Jay,Cyanocitta cristata,2024-11-21T16:24:51Z,21-Nov-2024,11:24:51,0.9176,1
Blue Jay,Cyanocitta cristata,2024-11-21T15:21:07Z,21-Nov-2024,10:21:07,0.8745,1
Blue Jay,Cyanocitta cristata,2024-11-21T15:06:31Z,21-Nov-2024,10:06:31,0.28,1
Blue Jay,Cyanocitta cristata,2024-11-21T15:06:01Z,21-Nov-2024,10:06:01,0.9647,8
Blue Jay,Cyanocitta cristata,2024-11-21T15:05:48Z,21-Nov-2024,10:05:48,0.33,1
Blue Jay,Cyanocitta cristata,2024-11-21T15:05:00Z,21-Nov-2024,10:05:00,0.8314,1
Blue Jay,Cyanocitta cristata,2024-11-21T14:40:10Z,21-Nov-2024,09:40:10,0.8,2
Blue Jay,Cyanocitta cristata,2024-11-21T14:38:48Z,21-Nov-2024,09:38:48,0.8157,1
Blue Jay,Cyanocitta cristata,2024-11-21T14:19:24Z,21-Nov-2024,09:19:24,0.9176,1
Blue Jay,Cyanocitta cristata,2024-11-21T14:12:00Z,21-Nov-2024,09:12:00,0.9098,1
Downy Woodpecker,Dryobates pubescens,2024-11-21T14:02:06Z,21-Nov-2024,09:02:06,0.9686,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-21T13:52:49Z,21-Nov-2024,08:52:49,0.8471,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:52:36Z,21-Nov-2024,08:52:36,0.8745,8
Blue Jay,Cyanocitta cristata,2024-11-21T13:50:34Z,21-Nov-2024,08:50:34,0.31,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:50:03Z,21-Nov-2024,08:50:03,0.8863,16
Blue Jay,Cyanocitta cristata,2024-11-21T13:49:09Z,21-Nov-2024,08:49:09,0.35,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:49:03Z,21-Nov-2024,08:49:03,0.45,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:49:00Z,21-Nov-2024,08:49:00,0.9098,3
Dunlin,Calidris alpina,2024-11-21T13:48:33Z,21-Nov-2024,08:48:33,0.46,1
Dunlin,Calidris alpina,2024-11-21T13:48:27Z,21-Nov-2024,08:48:27,0.38,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:45:22Z,21-Nov-2024,08:45:22,0.8157,2
American Crow,Corvus brachyrhynchos,2024-11-21T13:40:48Z,21-Nov-2024,08:40:48,0.8157,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:38:24Z,21-Nov-2024,08:38:24,0.8745,3
Blue Jay,Cyanocitta cristata,2024-11-21T13:36:15Z,21-Nov-2024,08:36:15,0.9176,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:04:48Z,21-Nov-2024,08:04:48,0.48,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:04:20Z,21-Nov-2024,08:04:20,0.8745,9
Blue Jay,Cyanocitta cristata,2024-11-21T13:03:16Z,21-Nov-2024,08:03:16,0.9255,8
Blue Jay,Cyanocitta cristata,2024-11-21T13:02:27Z,21-Nov-2024,08:02:27,0.33,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:02:12Z,21-Nov-2024,08:02:12,0.53,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:01:59Z,21-Nov-2024,08:01:59,0.38,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:01:49Z,21-Nov-2024,08:01:49,0.39,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:01:34Z,21-Nov-2024,08:01:34,0.9255,9
Blue Jay,Cyanocitta cristata,2024-11-21T13:01:30Z,21-Nov-2024,08:01:30,0.43,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:00:45Z,21-Nov-2024,08:00:45,0.42,1
Blue Jay,Cyanocitta cristata,2024-11-21T13:00:15Z,21-Nov-2024,08:00:15,0.898,14
Blue Jay,Cyanocitta cristata,2024-11-21T12:59:51Z,21-Nov-2024,07:59:51,0.34,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:58:54Z,21-Nov-2024,07:58:54,0.8863,5
Blue Jay,Cyanocitta cristata,2024-11-21T12:57:42Z,21-Nov-2024,07:57:42,0.8745,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:42:06Z,21-Nov-2024,07:42:06,0.29,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:42:03Z,21-Nov-2024,07:42:03,0.8627,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:31:42Z,21-Nov-2024,07:31:42,0.9529,11
Blue Jay,Cyanocitta cristata,2024-11-21T12:30:31Z,21-Nov-2024,07:30:31,0.8,2
Blue Jay,Cyanocitta cristata,2024-11-21T12:29:02Z,21-Nov-2024,07:29:02,0.39,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:28:58Z,21-Nov-2024,07:28:58,0.8745,15
Blue Jay,Cyanocitta cristata,2024-11-21T12:27:39Z,21-Nov-2024,07:27:39,0.9176,13
Blue Jay,Cyanocitta cristata,2024-11-21T12:27:09Z,21-Nov-2024,07:27:09,0.27,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:26:37Z,21-Nov-2024,07:26:37,0.8314,1
American Crow,Corvus brachyrhynchos,2024-11-21T12:23:07Z,21-Nov-2024,07:23:07,0.8157,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-21T12:18:30Z,21-Nov-2024,07:18:30,0.8745,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:13:30Z,21-Nov-2024,07:13:30,0.9333,6
Blue Jay,Cyanocitta cristata,2024-11-21T12:12:42Z,21-Nov-2024,07:12:42,0.49,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:11:57Z,21-Nov-2024,07:11:57,0.8471,8
Blue Jay,Cyanocitta cristata,2024-11-21T12:10:15Z,21-Nov-2024,07:10:15,0.8627,1
Blue Jay,Cyanocitta cristata,2024-11-21T12:05:13Z,21-Nov-2024,07:05:13,0.8157,4
Blue Jay,Cyanocitta cristata,2024-11-21T12:03:55Z,21-Nov-2024,07:03:55,0.7804,5
Blue Jay,Cyanocitta cristata,2024-11-21T12:01:48Z,21-Nov-2024,07:01:48,0.9725,5
Blue Jay,Cyanocitta cristata,2024-11-21T12:00:49Z,21-Nov-2024,07:00:49,0.53,1
Blue Jay,Cyanocitta cristata,2024-11-21T11:59:45Z,21-Nov-2024,06:59:45,0.26,1
Blue Jay,Cyanocitta cristata,2024-11-21T11:59:39Z,21-Nov-2024,06:59:39,0.8,1
American Crow,Corvus brachyrhynchos,2024-11-21T11:23:22Z,21-Nov-2024,06:23:22,0.8,1
Northern Cardinal,Cardinalis cardinalis,2024-11-21T07:42:32Z,21-Nov-2024,02:42:32,0.8314,1
Tufted Titmouse,Baeolophus bicolor,2024-11-21T07:00:39Z,21-Nov-2024,02:00:39,0.7804,1
Northern Cardinal,Cardinalis cardinalis,2024-11-21T05:30:12Z,21-Nov-2024,00:30:12,0.8471,1
Northern Cardinal,Cardinalis cardinalis,2024-11-21T03:21:12Z,20-Nov-2024,22:21:12,0.8314,1
Northern Cardinal,Cardinalis cardinalis,2024-11-21T01:03:36Z,20-Nov-2024,20:03:36,0.9098,1
Northern Cardinal,Cardinalis cardinalis,2024-11-21T00:40:13Z,20-Nov-2024,19:40:13,0.8157,1
Northern Cardinal,Cardinalis cardinalis,2024-11-21T00:30:17Z,20-Nov-2024,19:30:17,0.8157,1
