Species,UTC Date, Local Date, Local Time, Score, Count
Hairy Woodpecker,2024-02-15T20:53:41Z,15-Feb-2024,15:53:41,0.88,1
Brown Creeper,2024-02-15T19:01:26Z,15-Feb-2024,14:01:26,0.36,1
Brown Creeper,2024-02-15T19:00:05Z,15-Feb-2024,14:00:05,0.8,1
Brown Creeper,2024-02-15T18:59:38Z,15-Feb-2024,13:59:38,0.27,1
Brown Creeper,2024-02-15T18:58:53Z,15-Feb-2024,13:58:53,0.36,1
Brown Creeper,2024-02-15T18:57:38Z,15-Feb-2024,13:57:38,0.68,1
American Crow,2024-02-15T18:55:35Z,15-Feb-2024,13:55:35,0.9216,1
Brown Creeper,2024-02-15T18:26:59Z,15-Feb-2024,13:26:59,0.87,1
American Crow,2024-02-15T17:28:05Z,15-Feb-2024,12:28:05,0.949,2
American Crow,2024-02-15T17:23:39Z,15-Feb-2024,12:23:39,0.8667,1
American Goldfinch,2024-02-15T16:47:24Z,15-Feb-2024,11:47:24,0.8902,1
Blue Jay,2024-02-15T16:13:37Z,15-Feb-2024,11:13:37,0.33,1
Hairy Woodpecker,2024-02-15T16:04:34Z,15-Feb-2024,11:04:34,0.75,1
Tufted Titmouse,2024-02-15T15:56:01Z,15-Feb-2024,10:56:01,0.31,1
Blue Jay,2024-02-15T15:39:35Z,15-Feb-2024,10:39:35,0.37,1
Blue Jay,2024-02-15T15:39:28Z,15-Feb-2024,10:39:28,0.902,10
Blue Jay,2024-02-15T15:38:37Z,15-Feb-2024,10:38:37,0.58,1
Blue Jay,2024-02-15T15:38:25Z,15-Feb-2024,10:38:25,0.8235,6
Blue Jay,2024-02-15T15:36:34Z,15-Feb-2024,10:36:34,0.949,14
Blue Jay,2024-02-15T15:35:31Z,15-Feb-2024,10:35:31,0.9647,1
Blue Jay,2024-02-15T14:43:13Z,15-Feb-2024,09:43:13,0.7882,1
Red-shouldered Hawk,2024-02-15T14:36:07Z,15-Feb-2024,09:36:07,0.5,1
Blue Jay,2024-02-15T14:35:25Z,15-Feb-2024,09:35:25,0.8667,1
American Goldfinch,2024-02-15T14:18:19Z,15-Feb-2024,09:18:19,0.9647,1
Blue Jay,2024-02-15T14:05:58Z,15-Feb-2024,09:05:58,0.8549,1
American Goldfinch,2024-02-15T14:01:55Z,15-Feb-2024,09:01:55,0.9294,2
Hairy Woodpecker,2024-02-15T14:00:04Z,15-Feb-2024,09:00:04,0.73,1
American Goldfinch,2024-02-15T13:53:55Z,15-Feb-2024,08:53:55,0.9333,1
Eastern Bluebird,2024-02-15T13:46:49Z,15-Feb-2024,08:46:49,0.89,1
Eastern Bluebird,2024-02-15T13:46:31Z,15-Feb-2024,08:46:31,0.85,1
Blue Jay,2024-02-15T13:41:49Z,15-Feb-2024,08:41:49,0.8392,1
Blue Jay,2024-02-15T13:36:58Z,15-Feb-2024,08:36:58,0.9216,1
Golden-crowned Kinglet,2024-02-15T13:27:46Z,15-Feb-2024,08:27:46,0.93,1
Blue Jay,2024-02-15T12:32:58Z,15-Feb-2024,07:32:58,0.9569,1
White-breasted Nuthatch,2024-02-15T12:32:50Z,15-Feb-2024,07:32:50,0.29,1
White-breasted Nuthatch,2024-02-15T12:32:44Z,15-Feb-2024,07:32:44,0.49,1
White-breasted Nuthatch,2024-02-15T12:32:37Z,15-Feb-2024,07:32:37,0.48,1
White-breasted Nuthatch,2024-02-15T12:32:30Z,15-Feb-2024,07:32:30,0.82,1
White-breasted Nuthatch,2024-02-15T12:32:21Z,15-Feb-2024,07:32:21,0.26,1
White-breasted Nuthatch,2024-02-15T12:32:04Z,15-Feb-2024,07:32:04,0.67,1
White-breasted Nuthatch,2024-02-15T12:31:55Z,15-Feb-2024,07:31:55,0.58,1
White-breasted Nuthatch,2024-02-15T12:31:35Z,15-Feb-2024,07:31:35,0.43,1
White-breasted Nuthatch,2024-02-15T12:31:25Z,15-Feb-2024,07:31:25,0.78,1
White-breasted Nuthatch,2024-02-15T12:31:04Z,15-Feb-2024,07:31:04,0.36,1
American Crow,2024-02-15T12:30:41Z,15-Feb-2024,07:30:41,0.9686,2
White-breasted Nuthatch,2024-02-15T12:30:19Z,15-Feb-2024,07:30:19,0.3,1
White-breasted Nuthatch,2024-02-15T12:28:07Z,15-Feb-2024,07:28:07,0.87,1
American Crow,2024-02-15T12:27:04Z,15-Feb-2024,07:27:04,0.9412,1
White-breasted Nuthatch,2024-02-15T12:24:50Z,15-Feb-2024,07:24:50,0.7,1
White-breasted Nuthatch,2024-02-15T12:24:43Z,15-Feb-2024,07:24:43,0.79,1
Eastern Bluebird,2024-02-15T12:17:37Z,15-Feb-2024,07:17:37,0.74,1
Blue Jay,2024-02-15T12:07:49Z,15-Feb-2024,07:07:49,0.27,1
White-breasted Nuthatch,2024-02-15T11:59:29Z,15-Feb-2024,06:59:29,0.54,1
White-breasted Nuthatch,2024-02-15T11:59:22Z,15-Feb-2024,06:59:22,0.64,1
