Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Eastern Phoebe,Sayornis phoebe,2026-04-28T23:52:11Z,28-Apr-2026,19:52:11,0.42,1
Eastern Phoebe,Sayornis phoebe,2026-04-28T23:51:46Z,28-Apr-2026,19:51:46,0.41,1
Eastern Phoebe,Sayornis phoebe,2026-04-28T23:51:20Z,28-Apr-2026,19:51:20,0.36,1
Eastern Phoebe,Sayornis phoebe,2026-04-28T23:51:14Z,28-Apr-2026,19:51:14,0.26,1
American Robin,Turdus migratorius,2026-04-28T23:32:05Z,28-Apr-2026,19:32:05,0.38,1
Mourning Dove,Zenaida macroura,2026-04-28T23:29:26Z,28-Apr-2026,19:29:26,0.8745,1
Red-shouldered Hawk,Buteo lineatus,2026-04-28T23:29:16Z,28-Apr-2026,19:29:16,0.27,1
Mourning Dove,Zenaida macroura,2026-04-28T23:29:10Z,28-Apr-2026,19:29:10,0.88,1
Northern Flicker,Colaptes auratus,2026-04-28T23:25:44Z,28-Apr-2026,19:25:44,0.37,1
Northern Flicker,Colaptes auratus,2026-04-28T23:25:15Z,28-Apr-2026,19:25:15,0.55,1
Northern Flicker,Colaptes auratus,2026-04-28T23:25:02Z,28-Apr-2026,19:25:02,0.66,1
Northern Flicker,Colaptes auratus,2026-04-28T23:24:56Z,28-Apr-2026,19:24:56,0.82,1
Northern Flicker,Colaptes auratus,2026-04-28T23:24:43Z,28-Apr-2026,19:24:43,0.44,1
Northern Flicker,Colaptes auratus,2026-04-28T23:24:30Z,28-Apr-2026,19:24:30,0.47,1
Northern Flicker,Colaptes auratus,2026-04-28T23:24:23Z,28-Apr-2026,19:24:23,0.36,1
Brown-headed Cowbird,Molothrus ater,2026-04-28T23:16:05Z,28-Apr-2026,19:16:05,0.28,1
American Robin,Turdus migratorius,2026-04-28T23:15:29Z,28-Apr-2026,19:15:29,0.32,1
American Robin,Turdus migratorius,2026-04-28T23:15:22Z,28-Apr-2026,19:15:22,0.47,1
American Robin,Turdus migratorius,2026-04-28T23:15:18Z,28-Apr-2026,19:15:18,0.9333,10
American Robin,Turdus migratorius,2026-04-28T23:14:16Z,28-Apr-2026,19:14:16,0.8471,1
Brown-headed Cowbird,Molothrus ater,2026-04-28T23:13:53Z,28-Apr-2026,19:13:53,0.48,1
Brown-headed Cowbird,Molothrus ater,2026-04-28T23:13:08Z,28-Apr-2026,19:13:08,0.65,1
Mourning Dove,Zenaida macroura,2026-04-28T22:48:24Z,28-Apr-2026,18:48:24,0.8,3
Mourning Dove,Zenaida macroura,2026-04-28T22:47:17Z,28-Apr-2026,18:47:17,0.8627,2
Mourning Dove,Zenaida macroura,2026-04-28T22:46:14Z,28-Apr-2026,18:46:14,0.8314,3
Mourning Dove,Zenaida macroura,2026-04-28T22:46:10Z,28-Apr-2026,18:46:10,0.71,1
Mourning Dove,Zenaida macroura,2026-04-28T22:44:48Z,28-Apr-2026,18:44:48,0.39,1
Mourning Dove,Zenaida macroura,2026-04-28T22:44:36Z,28-Apr-2026,18:44:36,0.8,2
Mourning Dove,Zenaida macroura,2026-04-28T22:41:10Z,28-Apr-2026,18:41:10,0.8471,1
