Species,UTC Date, Local Date, Local Time, Score, Count
Red-shouldered Hawk,2024-03-08T12:24:33Z,08-Mar-2024,07:24:33,0.43,1
Blue Jay,2024-03-08T12:23:06Z,08-Mar-2024,07:23:06,0.8784,1
Blue Jay,2024-03-08T12:19:30Z,08-Mar-2024,07:19:30,0.8392,2
Black-capped Chickadee,2024-03-08T12:17:42Z,08-Mar-2024,07:17:42,0.7882,1
Downy Woodpecker,2024-03-08T12:17:33Z,08-Mar-2024,07:17:33,0.8078,1
Blue Jay,2024-03-08T12:15:21Z,08-Mar-2024,07:15:21,0.49,1
Blue Jay,2024-03-08T12:14:51Z,08-Mar-2024,07:14:51,0.42,1
Blue Jay,2024-03-08T12:14:25Z,08-Mar-2024,07:14:25,0.7882,4
Blue Jay,2024-03-08T12:13:24Z,08-Mar-2024,07:13:24,0.949,1
Hairy Woodpecker,2024-03-08T12:10:30Z,08-Mar-2024,07:10:30,0.8,1
Hairy Woodpecker,2024-03-08T12:10:12Z,08-Mar-2024,07:10:12,0.71,1
Hairy Woodpecker,2024-03-08T12:09:57Z,08-Mar-2024,07:09:57,0.9,1
Hairy Woodpecker,2024-03-08T12:09:43Z,08-Mar-2024,07:09:43,0.65,1
Hairy Woodpecker,2024-03-08T12:09:31Z,08-Mar-2024,07:09:31,0.79,1
Hairy Woodpecker,2024-03-08T12:09:16Z,08-Mar-2024,07:09:16,0.77,1
Hairy Woodpecker,2024-03-08T12:09:10Z,08-Mar-2024,07:09:10,0.6,1
Hairy Woodpecker,2024-03-08T12:08:55Z,08-Mar-2024,07:08:55,0.71,1
Hairy Woodpecker,2024-03-08T12:08:42Z,08-Mar-2024,07:08:42,0.28,1
Hairy Woodpecker,2024-03-08T12:08:36Z,08-Mar-2024,07:08:36,0.65,1
Hairy Woodpecker,2024-03-08T12:08:29Z,08-Mar-2024,07:08:29,0.3,1
Hairy Woodpecker,2024-03-08T12:08:20Z,08-Mar-2024,07:08:20,0.56,1
Hairy Woodpecker,2024-03-08T12:08:10Z,08-Mar-2024,07:08:10,0.57,1
American Crow,2024-03-08T12:08:01Z,08-Mar-2024,07:08:01,0.52,1
Hairy Woodpecker,2024-03-08T12:07:55Z,08-Mar-2024,07:07:55,0.94,1
Hairy Woodpecker,2024-03-08T12:07:48Z,08-Mar-2024,07:07:48,0.51,1
Blue Jay,2024-03-08T12:06:36Z,08-Mar-2024,07:06:36,0.38,1
Blue Jay,2024-03-08T12:06:13Z,08-Mar-2024,07:06:13,0.9294,1
Blue Jay,2024-03-08T12:06:09Z,08-Mar-2024,07:06:09,0.46,1
Blue Jay,2024-03-08T12:05:37Z,08-Mar-2024,07:05:37,0.44,1
Blue Jay,2024-03-08T12:05:30Z,08-Mar-2024,07:05:30,0.59,1
Blue Jay,2024-03-08T12:04:36Z,08-Mar-2024,07:04:36,0.35,1
Blue Jay,2024-03-08T12:04:17Z,08-Mar-2024,07:04:17,0.37,1
Blue Jay,2024-03-08T12:04:11Z,08-Mar-2024,07:04:11,0.44,1
Blue Jay,2024-03-08T12:04:04Z,08-Mar-2024,07:04:04,0.7882,1
Blue Jay,2024-03-08T12:02:55Z,08-Mar-2024,07:02:55,0.28,1
Blue Jay,2024-03-08T12:02:30Z,08-Mar-2024,07:02:30,0.26,1
Blue Jay,2024-03-08T12:01:19Z,08-Mar-2024,07:01:19,0.26,1
Blue Jay,2024-03-08T12:01:10Z,08-Mar-2024,07:01:10,0.42,1
Blue Jay,2024-03-08T12:01:00Z,08-Mar-2024,07:01:00,0.35,1
Blue Jay,2024-03-08T12:00:24Z,08-Mar-2024,07:00:24,0.9412,2
Blue Jay,2024-03-08T11:58:20Z,08-Mar-2024,06:58:20,0.9216,2
Blue Jay,2024-03-08T11:58:10Z,08-Mar-2024,06:58:10,0.54,1
Blue Jay,2024-03-08T11:57:51Z,08-Mar-2024,06:57:51,0.52,1
Blue Jay,2024-03-08T11:57:09Z,08-Mar-2024,06:57:09,0.8902,4
American Crow,2024-03-08T11:55:07Z,08-Mar-2024,06:55:07,0.48,1
Blue Jay,2024-03-08T11:52:17Z,08-Mar-2024,06:52:17,0.27,1
Blue Jay,2024-03-08T11:52:04Z,08-Mar-2024,06:52:04,0.9725,1
American Goldfinch,2024-03-08T11:45:24Z,08-Mar-2024,06:45:24,0.8392,1
Blue Jay,2024-03-08T11:35:49Z,08-Mar-2024,06:35:49,0.8549,1
Blue Jay,2024-03-08T11:35:39Z,08-Mar-2024,06:35:39,0.38,1
American Crow,2024-03-08T11:34:16Z,08-Mar-2024,06:34:16,0.8902,1
Blue Jay,2024-03-08T11:34:09Z,08-Mar-2024,06:34:09,0.9412,1
Tufted Titmouse,2024-03-08T11:32:00Z,08-Mar-2024,06:32:00,0.37,1
Blue Jay,2024-03-08T11:31:45Z,08-Mar-2024,06:31:45,0.29,1
Blue Jay,2024-03-08T11:27:03Z,08-Mar-2024,06:27:03,0.9098,1
Northern Shrike,2024-03-08T11:23:28Z,08-Mar-2024,06:23:28,0.36,1
Blue Jay,2024-03-08T11:19:18Z,08-Mar-2024,06:19:18,0.9333,8
Golden-crowned Kinglet,2024-03-08T11:18:24Z,08-Mar-2024,06:18:24,0.93,1
Golden-crowned Kinglet,2024-03-08T11:18:14Z,08-Mar-2024,06:18:14,0.63,1
Blue Jay,2024-03-08T11:18:05Z,08-Mar-2024,06:18:05,0.8392,8
Golden-crowned Kinglet,2024-03-08T11:18:01Z,08-Mar-2024,06:18:01,0.66,1
Golden-crowned Kinglet,2024-03-08T11:17:55Z,08-Mar-2024,06:17:55,0.83,1
Brown Creeper,2024-03-08T11:17:45Z,08-Mar-2024,06:17:45,0.68,1
American Crow,2024-03-08T11:16:52Z,08-Mar-2024,06:16:52,0.27,1
Blue Jay,2024-03-08T11:16:43Z,08-Mar-2024,06:16:43,0.8235,1
American Crow,2024-03-08T11:14:18Z,08-Mar-2024,06:14:18,0.902,1
American Goldfinch,2024-03-08T11:11:44Z,08-Mar-2024,06:11:44,0.32,1
American Goldfinch,2024-03-08T11:11:40Z,08-Mar-2024,06:11:40,0.9647,1
Blue Jay,2024-03-08T11:10:00Z,08-Mar-2024,06:10:00,0.8784,2
Blue Jay,2024-03-08T11:08:55Z,08-Mar-2024,06:08:55,0.7882,9
Red-shouldered Hawk,2024-03-08T11:08:45Z,08-Mar-2024,06:08:45,0.34,1
Blue Jay,2024-03-08T11:07:25Z,08-Mar-2024,06:07:25,0.9725,12
American Crow,2024-03-08T11:06:34Z,08-Mar-2024,06:06:34,0.9333,1
Blue Jay,2024-03-08T11:06:22Z,08-Mar-2024,06:06:22,0.8902,1
Blue Jay,2024-03-08T11:06:18Z,08-Mar-2024,06:06:18,0.39,1
American Crow,2024-03-08T11:05:00Z,08-Mar-2024,06:05:00,0.8392,2
American Crow,2024-03-08T11:03:57Z,08-Mar-2024,06:03:57,0.8667,1
American Crow,2024-03-08T11:03:42Z,08-Mar-2024,06:03:42,0.28,1
American Robin,2024-03-08T11:03:21Z,08-Mar-2024,06:03:21,0.41,1
American Crow,2024-03-08T11:02:51Z,08-Mar-2024,06:02:51,0.37,1
American Crow,2024-03-08T11:02:07Z,08-Mar-2024,06:02:07,0.9216,1
American Goldfinch,2024-03-08T11:00:18Z,08-Mar-2024,06:00:18,0.9529,1
American Goldfinch,2024-03-08T10:59:06Z,08-Mar-2024,05:59:06,0.902,1
American Goldfinch,2024-03-08T10:57:42Z,08-Mar-2024,05:57:42,0.8078,1
Eastern Bluebird,2024-03-08T10:48:48Z,08-Mar-2024,05:48:48,0.31,1
Eastern Bluebird,2024-03-08T10:48:36Z,08-Mar-2024,05:48:36,0.98,1
Eastern Bluebird,2024-03-08T10:48:21Z,08-Mar-2024,05:48:21,0.32,1
Common Raven,2024-03-08T10:14:18Z,08-Mar-2024,05:14:18,0.31,1
