Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Gray Catbird,Dumetella carolinensis,2025-06-04T23:57:27Z,04-Jun-2025,19:57:27,0.8471,1
American Goldfinch,Spinus tristis,2025-06-04T23:27:06Z,04-Jun-2025,19:27:06,0.33,1
Northern Cardinal,Cardinalis cardinalis,2025-06-04T23:25:48Z,04-Jun-2025,19:25:48,0.7804,3
Northern Cardinal,Cardinalis cardinalis,2025-06-04T23:24:40Z,04-Jun-2025,19:24:40,0.7804,2
Northern Cardinal,Cardinalis cardinalis,2025-06-04T23:23:12Z,04-Jun-2025,19:23:12,0.8314,2
Northern Cardinal,Cardinalis cardinalis,2025-06-04T23:21:17Z,04-Jun-2025,19:21:17,0.8471,3
Northern Cardinal,Cardinalis cardinalis,2025-06-04T23:19:45Z,04-Jun-2025,19:19:45,0.8314,6
Northern Cardinal,Cardinalis cardinalis,2025-06-04T23:18:41Z,04-Jun-2025,19:18:41,0.8157,1
Red-eyed Vireo,Vireo olivaceus,2025-06-04T23:06:18Z,04-Jun-2025,19:06:18,0.3,1
Red-eyed Vireo,Vireo olivaceus,2025-06-04T23:06:08Z,04-Jun-2025,19:06:08,0.48,1
Red-eyed Vireo,Vireo olivaceus,2025-06-04T23:05:55Z,04-Jun-2025,19:05:55,0.49,1
Canada Warbler,Cardellina canadensis,2025-06-04T22:59:04Z,04-Jun-2025,18:59:04,0.45,1
Canada Warbler,Cardellina canadensis,2025-06-04T22:57:16Z,04-Jun-2025,18:57:16,0.27,1
American Crow,Corvus brachyrhynchos,2025-06-04T22:54:12Z,04-Jun-2025,18:54:12,0.8863,3
American Crow,Corvus brachyrhynchos,2025-06-04T22:52:56Z,04-Jun-2025,18:52:56,0.898,6
American Crow,Corvus brachyrhynchos,2025-06-04T22:51:36Z,04-Jun-2025,18:51:36,0.7804,3
Blue Jay,Cyanocitta cristata,2025-06-04T22:51:17Z,04-Jun-2025,18:51:17,0.26,1
American Crow,Corvus brachyrhynchos,2025-06-04T22:50:30Z,04-Jun-2025,18:50:30,0.55,1
American Crow,Corvus brachyrhynchos,2025-06-04T22:50:00Z,04-Jun-2025,18:50:00,0.8157,1
American Crow,Corvus brachyrhynchos,2025-06-04T22:48:59Z,04-Jun-2025,18:48:59,0.8471,6
American Crow,Corvus brachyrhynchos,2025-06-04T22:47:03Z,04-Jun-2025,18:47:03,0.8745,1
