Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Blue Jay,Cyanocitta cristata,2024-11-20T20:26:25Z,20-Nov-2024,15:26:25,0.51,1
Blue Jay,Cyanocitta cristata,2024-11-20T20:26:10Z,20-Nov-2024,15:26:10,0.8863,1
Blue Jay,Cyanocitta cristata,2024-11-20T20:26:03Z,20-Nov-2024,15:26:03,0.37,1
Blue Jay,Cyanocitta cristata,2024-11-20T18:27:50Z,20-Nov-2024,13:27:50,0.8,11
Blue Jay,Cyanocitta cristata,2024-11-20T18:25:35Z,20-Nov-2024,13:25:35,0.898,16
Blue Jay,Cyanocitta cristata,2024-11-20T18:24:44Z,20-Nov-2024,13:24:44,0.44,1
Blue Jay,Cyanocitta cristata,2024-11-20T18:24:29Z,20-Nov-2024,13:24:29,0.35,1
Blue Jay,Cyanocitta cristata,2024-11-20T18:24:20Z,20-Nov-2024,13:24:20,0.9412,1
Blue Jay,Cyanocitta cristata,2024-11-20T18:23:04Z,20-Nov-2024,13:23:04,0.898,14
Blue Jay,Cyanocitta cristata,2024-11-20T18:22:12Z,20-Nov-2024,13:22:12,0.32,1
Blue Jay,Cyanocitta cristata,2024-11-20T18:22:03Z,20-Nov-2024,13:22:03,0.8745,14
Blue Jay,Cyanocitta cristata,2024-11-20T18:21:01Z,20-Nov-2024,13:21:01,0.9176,1
Blue Jay,Cyanocitta cristata,2024-11-20T18:02:43Z,20-Nov-2024,13:02:43,0.898,4
Pileated Woodpecker,Dryocopus pileatus,2024-11-20T18:00:47Z,20-Nov-2024,13:00:47,0.47,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:56:40Z,20-Nov-2024,12:56:40,0.898,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:54:49Z,20-Nov-2024,12:54:49,0.8627,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:53:13Z,20-Nov-2024,12:53:13,0.8157,8
Blue Jay,Cyanocitta cristata,2024-11-20T17:52:18Z,20-Nov-2024,12:52:18,0.88,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:52:05Z,20-Nov-2024,12:52:05,0.34,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:51:41Z,20-Nov-2024,12:51:41,0.9098,5
Blue Jay,Cyanocitta cristata,2024-11-20T17:49:01Z,20-Nov-2024,12:49:01,0.8863,17
Blue Jay,Cyanocitta cristata,2024-11-20T17:47:04Z,20-Nov-2024,12:47:04,0.7804,17
Blue Jay,Cyanocitta cristata,2024-11-20T17:45:52Z,20-Nov-2024,12:45:52,0.8627,19
Blue Jay,Cyanocitta cristata,2024-11-20T17:44:51Z,20-Nov-2024,12:44:51,0.8157,14
Blue Jay,Cyanocitta cristata,2024-11-20T17:44:35Z,20-Nov-2024,12:44:35,0.33,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:43:50Z,20-Nov-2024,12:43:50,0.9529,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:35:19Z,20-Nov-2024,12:35:19,0.8,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:13:16Z,20-Nov-2024,12:13:16,0.3,1
Blue Jay,Cyanocitta cristata,2024-11-20T17:05:55Z,20-Nov-2024,12:05:55,0.8471,1
Blue Jay,Cyanocitta cristata,2024-11-20T16:55:01Z,20-Nov-2024,11:55:01,0.51,1
Blue Jay,Cyanocitta cristata,2024-11-20T16:54:26Z,20-Nov-2024,11:54:26,0.8,1
Blue Jay,Cyanocitta cristata,2024-11-20T16:33:28Z,20-Nov-2024,11:33:28,0.9333,1
Blue Jay,Cyanocitta cristata,2024-11-20T16:28:38Z,20-Nov-2024,11:28:38,0.9333,2
Blue Jay,Cyanocitta cristata,2024-11-20T16:25:37Z,20-Nov-2024,11:25:37,0.9176,1
Blue Jay,Cyanocitta cristata,2024-11-20T16:19:01Z,20-Nov-2024,11:19:01,0.9176,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T15:59:06Z,20-Nov-2024,10:59:06,0.8,1
Blue Jay,Cyanocitta cristata,2024-11-20T15:58:25Z,20-Nov-2024,10:58:25,0.31,1
Blue Jay,Cyanocitta cristata,2024-11-20T15:58:22Z,20-Nov-2024,10:58:22,0.8157,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T15:43:45Z,20-Nov-2024,10:43:45,0.8157,1
Blue Jay,Cyanocitta cristata,2024-11-20T15:32:13Z,20-Nov-2024,10:32:13,0.8157,1
American Crow,Corvus brachyrhynchos,2024-11-20T15:29:16Z,20-Nov-2024,10:29:16,0.7804,2
American Crow,Corvus brachyrhynchos,2024-11-20T15:28:12Z,20-Nov-2024,10:28:12,0.9098,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-20T15:13:06Z,20-Nov-2024,10:13:06,0.51,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-20T15:12:54Z,20-Nov-2024,10:12:54,0.57,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T15:02:30Z,20-Nov-2024,10:02:30,0.9529,1
Canada Goose,Branta canadensis,2024-11-20T14:54:53Z,20-Nov-2024,09:54:53,0.36,1
Canada Goose,Branta canadensis,2024-11-20T14:54:47Z,20-Nov-2024,09:54:47,0.34,1
Canada Goose,Branta canadensis,2024-11-20T14:54:40Z,20-Nov-2024,09:54:40,0.52,1
American Crow,Corvus brachyrhynchos,2024-11-20T14:54:07Z,20-Nov-2024,09:54:07,0.8314,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T14:53:25Z,20-Nov-2024,09:53:25,0.7804,1
American Goldfinch,Spinus tristis,2024-11-20T14:48:09Z,20-Nov-2024,09:48:09,0.8157,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T14:43:42Z,20-Nov-2024,09:43:42,0.8,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:40:32Z,20-Nov-2024,09:40:32,0.8745,6
Blue Jay,Cyanocitta cristata,2024-11-20T14:40:09Z,20-Nov-2024,09:40:09,0.3,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:39:27Z,20-Nov-2024,09:39:27,0.9098,1
American Crow,Corvus brachyrhynchos,2024-11-20T14:38:12Z,20-Nov-2024,09:38:12,0.8,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:31:42Z,20-Nov-2024,09:31:42,0.27,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:31:18Z,20-Nov-2024,09:31:18,0.35,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:27:45Z,20-Nov-2024,09:27:45,0.8745,4
Blue Jay,Cyanocitta cristata,2024-11-20T14:27:22Z,20-Nov-2024,09:27:22,0.65,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:27:15Z,20-Nov-2024,09:27:15,0.38,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:26:44Z,20-Nov-2024,09:26:44,0.8627,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:25:04Z,20-Nov-2024,09:25:04,0.36,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T14:20:24Z,20-Nov-2024,09:20:24,0.8627,1
American Crow,Corvus brachyrhynchos,2024-11-20T14:19:08Z,20-Nov-2024,09:19:08,0.8471,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T14:18:33Z,20-Nov-2024,09:18:33,0.7804,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:08:58Z,20-Nov-2024,09:08:58,0.8,6
Blue Jay,Cyanocitta cristata,2024-11-20T14:07:40Z,20-Nov-2024,09:07:40,0.9176,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:04:06Z,20-Nov-2024,09:04:06,0.48,1
Blue Jay,Cyanocitta cristata,2024-11-20T14:04:00Z,20-Nov-2024,09:04:00,0.7804,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T13:50:52Z,20-Nov-2024,08:50:52,0.8627,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T13:49:21Z,20-Nov-2024,08:49:21,0.8314,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T13:43:34Z,20-Nov-2024,08:43:34,0.8157,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:39:07Z,20-Nov-2024,08:39:07,0.9176,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T13:38:48Z,20-Nov-2024,08:38:48,0.41,1
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T13:37:45Z,20-Nov-2024,08:37:45,0.7804,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:35:19Z,20-Nov-2024,08:35:19,0.8,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:34:57Z,20-Nov-2024,08:34:57,0.32,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:31:24Z,20-Nov-2024,08:31:24,0.8863,7
Blue Jay,Cyanocitta cristata,2024-11-20T13:31:10Z,20-Nov-2024,08:31:10,0.6,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:31:03Z,20-Nov-2024,08:31:03,0.33,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:30:07Z,20-Nov-2024,08:30:07,0.898,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:28:36Z,20-Nov-2024,08:28:36,0.7804,4
Red-bellied Woodpecker,Melanerpes carolinus,2024-11-20T13:28:20Z,20-Nov-2024,08:28:20,0.65,1
Blue Jay,Cyanocitta cristata,2024-11-20T13:25:59Z,20-Nov-2024,08:25:59,0.34,1
