Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
American Crow,Corvus brachyrhynchos,2025-12-31T23:54:56Z,31-Dec-2025,15:54:56,0.8627,3
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T23:54:11Z,31-Dec-2025,15:54:11,0.55,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T23:53:29Z,31-Dec-2025,15:53:29,0.57,1
American Crow,Corvus brachyrhynchos,2025-12-31T23:49:44Z,31-Dec-2025,15:49:44,0.8627,1
Anna's Hummingbird,Calypte anna,2025-12-31T23:46:19Z,31-Dec-2025,15:46:19,0.9725,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T23:44:56Z,31-Dec-2025,15:44:56,0.55,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T23:44:25Z,31-Dec-2025,15:44:25,0.54,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T23:44:15Z,31-Dec-2025,15:44:15,0.51,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T23:44:02Z,31-Dec-2025,15:44:02,0.3,1
Anna's Hummingbird,Calypte anna,2025-12-31T23:40:08Z,31-Dec-2025,15:40:08,0.8314,1
Steller's Jay,Cyanocitta stelleri,2025-12-31T23:36:39Z,31-Dec-2025,15:36:39,0.33,1
Anna's Hummingbird,Calypte anna,2025-12-31T23:36:17Z,31-Dec-2025,15:36:17,0.949,1
Chestnut-backed Chickadee,Poecile rufescens,2025-12-31T23:28:55Z,31-Dec-2025,15:28:55,0.8863,1
House Finch,Haemorhous mexicanus,2025-12-31T23:28:27Z,31-Dec-2025,15:28:27,0.41,1
Anna's Hummingbird,Calypte anna,2025-12-31T23:27:08Z,31-Dec-2025,15:27:08,0.9333,1
Ruby-crowned Kinglet,Corthylio calendula,2025-12-31T23:22:17Z,31-Dec-2025,15:22:17,0.35,1
Anna's Hummingbird,Calypte anna,2025-12-31T23:17:47Z,31-Dec-2025,15:17:47,0.9725,9
Anna's Hummingbird,Calypte anna,2025-12-31T23:15:08Z,31-Dec-2025,15:15:08,0.9529,19
Anna's Hummingbird,Calypte anna,2025-12-31T23:14:05Z,31-Dec-2025,15:14:05,0.9569,21
Anna's Hummingbird,Calypte anna,2025-12-31T23:13:02Z,31-Dec-2025,15:13:02,0.9765,1
American Crow,Corvus brachyrhynchos,2025-12-31T23:04:43Z,31-Dec-2025,15:04:43,0.8745,1
Anna's Hummingbird,Calypte anna,2025-12-31T23:03:50Z,31-Dec-2025,15:03:50,0.9176,1
American Crow,Corvus brachyrhynchos,2025-12-31T22:58:03Z,31-Dec-2025,14:58:03,0.8,1
Yellow-rumped Warbler,Setophaga coronata,2025-12-31T22:57:06Z,31-Dec-2025,14:57:06,0.43,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:53:27Z,31-Dec-2025,14:53:27,0.949,18
Anna's Hummingbird,Calypte anna,2025-12-31T22:52:23Z,31-Dec-2025,14:52:23,0.8,8
American Crow,Corvus brachyrhynchos,2025-12-31T22:51:19Z,31-Dec-2025,14:51:19,0.7804,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:49:02Z,31-Dec-2025,14:49:02,0.949,4
Anna's Hummingbird,Calypte anna,2025-12-31T22:47:50Z,31-Dec-2025,14:47:50,0.9882,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:46:32Z,31-Dec-2025,14:46:32,0.8627,7
Pacific Wren,Troglodytes pacificus,2025-12-31T22:44:42Z,31-Dec-2025,14:44:42,0.46,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:43:11Z,31-Dec-2025,14:43:11,0.9333,4
Anna's Hummingbird,Calypte anna,2025-12-31T22:41:50Z,31-Dec-2025,14:41:50,0.9725,1
Northern Flicker,Colaptes auratus,2025-12-31T22:39:46Z,31-Dec-2025,14:39:46,0.42,1
Northern Flicker,Colaptes auratus,2025-12-31T22:39:36Z,31-Dec-2025,14:39:36,0.53,1
Northern Flicker,Colaptes auratus,2025-12-31T22:39:30Z,31-Dec-2025,14:39:30,0.28,1
Northern Flicker,Colaptes auratus,2025-12-31T22:39:23Z,31-Dec-2025,14:39:23,0.67,1
Northern Flicker,Colaptes auratus,2025-12-31T22:39:16Z,31-Dec-2025,14:39:16,0.48,1
Northern Flicker,Colaptes auratus,2025-12-31T22:39:02Z,31-Dec-2025,14:39:02,0.3,1
Northern Flicker,Colaptes auratus,2025-12-31T22:38:55Z,31-Dec-2025,14:38:55,0.39,1
Northern Flicker,Colaptes auratus,2025-12-31T22:38:47Z,31-Dec-2025,14:38:47,0.87,1
Northern Flicker,Colaptes auratus,2025-12-31T22:38:37Z,31-Dec-2025,14:38:37,0.94,1
Northern Flicker,Colaptes auratus,2025-12-31T22:38:30Z,31-Dec-2025,14:38:30,0.93,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:37:53Z,31-Dec-2025,14:37:53,0.9529,2
Anna's Hummingbird,Calypte anna,2025-12-31T22:36:11Z,31-Dec-2025,14:36:11,0.9804,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:32:41Z,31-Dec-2025,14:32:41,0.9569,2
Anna's Hummingbird,Calypte anna,2025-12-31T22:29:17Z,31-Dec-2025,14:29:17,0.9569,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:25:38Z,31-Dec-2025,14:25:38,1,5
Anna's Hummingbird,Calypte anna,2025-12-31T22:19:57Z,31-Dec-2025,14:19:57,0.9098,1
American Crow,Corvus brachyrhynchos,2025-12-31T22:18:44Z,31-Dec-2025,14:18:44,0.7804,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:17:07Z,31-Dec-2025,14:17:07,0.9843,2
Anna's Hummingbird,Calypte anna,2025-12-31T22:14:32Z,31-Dec-2025,14:14:32,0.7804,2
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:13:36Z,31-Dec-2025,14:13:36,0.69,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:13:30Z,31-Dec-2025,14:13:30,0.56,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:13:20Z,31-Dec-2025,14:13:20,0.8627,4
Anna's Hummingbird,Calypte anna,2025-12-31T22:13:05Z,31-Dec-2025,14:13:05,0.34,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:12:42Z,31-Dec-2025,14:12:42,0.37,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:12:29Z,31-Dec-2025,14:12:29,0.31,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:12:21Z,31-Dec-2025,14:12:21,0.56,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:12:08Z,31-Dec-2025,14:12:08,0.949,19
Anna's Hummingbird,Calypte anna,2025-12-31T22:11:20Z,31-Dec-2025,14:11:20,0.38,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:11:05Z,31-Dec-2025,14:11:05,0.8627,20
Anna's Hummingbird,Calypte anna,2025-12-31T22:10:04Z,31-Dec-2025,14:10:04,0.9882,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:09:36Z,31-Dec-2025,14:09:36,0.44,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:09:26Z,31-Dec-2025,14:09:26,0.39,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:09:19Z,31-Dec-2025,14:09:19,0.43,1
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:09:06Z,31-Dec-2025,14:09:06,0.59,1
Anna's Hummingbird,Calypte anna,2025-12-31T22:07:53Z,31-Dec-2025,14:07:53,0.8157,4
Golden-crowned Kinglet,Regulus satrapa,2025-12-31T22:01:32Z,31-Dec-2025,14:01:32,0.26,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:59:08Z,31-Dec-2025,13:59:08,0.54,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:58:53Z,31-Dec-2025,13:58:53,0.9922,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:56:05Z,31-Dec-2025,13:56:05,0.9647,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:53:53Z,31-Dec-2025,13:53:53,0.9765,4
Anna's Hummingbird,Calypte anna,2025-12-31T21:52:35Z,31-Dec-2025,13:52:35,0.9255,3
Anna's Hummingbird,Calypte anna,2025-12-31T21:49:35Z,31-Dec-2025,13:49:35,0.8745,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:46:29Z,31-Dec-2025,13:46:29,0.9569,20
Anna's Hummingbird,Calypte anna,2025-12-31T21:45:27Z,31-Dec-2025,13:45:27,0.8157,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:38:17Z,31-Dec-2025,13:38:17,0.7804,6
Anna's Hummingbird,Calypte anna,2025-12-31T21:37:43Z,31-Dec-2025,13:37:43,0.85,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:37:07Z,31-Dec-2025,13:37:07,0.8471,4
Steller's Jay,Cyanocitta stelleri,2025-12-31T21:36:57Z,31-Dec-2025,13:36:57,0.28,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:36:06Z,31-Dec-2025,13:36:06,0.8157,9
American Crow,Corvus brachyrhynchos,2025-12-31T21:35:45Z,31-Dec-2025,13:35:45,0.8,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:34:54Z,31-Dec-2025,13:34:54,0.8745,6
Anna's Hummingbird,Calypte anna,2025-12-31T21:33:35Z,31-Dec-2025,13:33:35,0.9529,6
Anna's Hummingbird,Calypte anna,2025-12-31T21:32:17Z,31-Dec-2025,13:32:17,0.9882,7
Anna's Hummingbird,Calypte anna,2025-12-31T21:31:14Z,31-Dec-2025,13:31:14,0.9882,4
Anna's Hummingbird,Calypte anna,2025-12-31T21:28:05Z,31-Dec-2025,13:28:05,0.8627,1
American Crow,Corvus brachyrhynchos,2025-12-31T21:25:33Z,31-Dec-2025,13:25:33,0.8,1
Downy Woodpecker,Dryobates pubescens,2025-12-31T21:25:29Z,31-Dec-2025,13:25:29,0.45,1
Steller's Jay,Cyanocitta stelleri,2025-12-31T21:22:29Z,31-Dec-2025,13:22:29,0.9098,1
American Crow,Corvus brachyrhynchos,2025-12-31T21:19:57Z,31-Dec-2025,13:19:57,0.8627,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:17:41Z,31-Dec-2025,13:17:41,0.9922,1
Anna's Hummingbird,Calypte anna,2025-12-31T21:14:57Z,31-Dec-2025,13:14:57,0.9765,1
American Crow,Corvus brachyrhynchos,2025-12-31T21:14:47Z,31-Dec-2025,13:14:47,0.8471,3
American Crow,Corvus brachyrhynchos,2025-12-31T21:13:44Z,31-Dec-2025,13:13:44,0.8863,3
American Crow,Corvus brachyrhynchos,2025-12-31T21:12:33Z,31-Dec-2025,13:12:33,0.8627,3
Anna's Hummingbird,Calypte anna,2025-12-31T21:12:23Z,31-Dec-2025,13:12:23,0.8863,1
American Crow,Corvus brachyrhynchos,2025-12-31T21:11:08Z,31-Dec-2025,13:11:08,0.8745,5
Anna's Hummingbird,Calypte anna,2025-12-31T21:10:33Z,31-Dec-2025,13:10:33,0.8863,1
American Crow,Corvus brachyrhynchos,2025-12-31T21:10:02Z,31-Dec-2025,13:10:02,0.8471,3
Anna's Hummingbird,Calypte anna,2025-12-31T21:09:05Z,31-Dec-2025,13:09:05,0.9765,1
American Crow,Corvus brachyrhynchos,2025-12-31T21:08:38Z,31-Dec-2025,13:08:38,0.8471,1
