Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Anna's Hummingbird,Calypte anna,2024-09-05T23:55:20Z,05-Sep-2024,16:55:20,0.9098,4
Anna's Hummingbird,Calypte anna,2024-09-05T23:54:17Z,05-Sep-2024,16:54:17,0.8314,1
House Finch,Haemorhous mexicanus,2024-09-05T23:46:49Z,05-Sep-2024,16:46:49,0.55,1
House Finch,Haemorhous mexicanus,2024-09-05T23:46:43Z,05-Sep-2024,16:46:43,0.65,1
House Finch,Haemorhous mexicanus,2024-09-05T23:46:37Z,05-Sep-2024,16:46:37,0.37,1
House Finch,Haemorhous mexicanus,2024-09-05T23:46:21Z,05-Sep-2024,16:46:21,0.36,1
Cedar Waxwing,Bombycilla cedrorum,2024-09-05T23:39:26Z,05-Sep-2024,16:39:26,0.28,1
Bushtit,Psaltriparus minimus,2024-09-05T23:30:25Z,05-Sep-2024,16:30:25,0.71,1
American Crow,Corvus brachyrhynchos,2024-09-05T23:28:13Z,05-Sep-2024,16:28:13,0.8314,1
House Finch,Haemorhous mexicanus,2024-09-05T23:22:54Z,05-Sep-2024,16:22:54,0.45,1
House Finch,Haemorhous mexicanus,2024-09-05T23:22:22Z,05-Sep-2024,16:22:22,0.4,1
House Finch,Haemorhous mexicanus,2024-09-05T23:22:16Z,05-Sep-2024,16:22:16,0.64,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T23:21:13Z,05-Sep-2024,16:21:13,0.4,1
House Finch,Haemorhous mexicanus,2024-09-05T23:05:44Z,05-Sep-2024,16:05:44,0.59,1
House Finch,Haemorhous mexicanus,2024-09-05T23:04:09Z,05-Sep-2024,16:04:09,0.8627,1
House Finch,Haemorhous mexicanus,2024-09-05T23:03:57Z,05-Sep-2024,16:03:57,0.26,1
American Crow,Corvus brachyrhynchos,2024-09-05T23:03:25Z,05-Sep-2024,16:03:25,0.9098,1
House Finch,Haemorhous mexicanus,2024-09-05T23:03:01Z,05-Sep-2024,16:03:01,0.31,1
House Finch,Haemorhous mexicanus,2024-09-05T23:02:49Z,05-Sep-2024,16:02:49,0.7804,2
House Finch,Haemorhous mexicanus,2024-09-05T22:59:01Z,05-Sep-2024,15:59:01,0.59,1
House Finch,Haemorhous mexicanus,2024-09-05T22:58:54Z,05-Sep-2024,15:58:54,0.71,1
House Finch,Haemorhous mexicanus,2024-09-05T22:58:24Z,05-Sep-2024,15:58:24,0.8627,1
House Finch,Haemorhous mexicanus,2024-09-05T22:58:16Z,05-Sep-2024,15:58:16,0.33,1
House Finch,Haemorhous mexicanus,2024-09-05T22:57:10Z,05-Sep-2024,15:57:10,0.8157,1
American Crow,Corvus brachyrhynchos,2024-09-05T22:56:57Z,05-Sep-2024,15:56:57,0.8745,1
Hammond's Flycatcher,Empidonax hammondii,2024-09-05T22:35:34Z,05-Sep-2024,15:35:34,0.43,1
Dark-eyed Junco,Junco hyemalis,2024-09-05T22:29:35Z,05-Sep-2024,15:29:35,0.8314,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T22:24:56Z,05-Sep-2024,15:24:56,0.83,1
House Finch,Haemorhous mexicanus,2024-09-05T22:20:11Z,05-Sep-2024,15:20:11,0.39,1
Golden-crowned Kinglet,Regulus satrapa,2024-09-05T22:10:27Z,05-Sep-2024,15:10:27,0.4,1
Osprey,Pandion haliaetus,2024-09-05T22:05:09Z,05-Sep-2024,15:05:09,0.45,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T22:00:51Z,05-Sep-2024,15:00:51,0.47,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T22:00:43Z,05-Sep-2024,15:00:43,0.81,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T22:00:34Z,05-Sep-2024,15:00:34,0.8471,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T22:00:29Z,05-Sep-2024,15:00:29,0.42,1
Golden-crowned Kinglet,Regulus satrapa,2024-09-05T21:55:18Z,05-Sep-2024,14:55:18,0.78,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:52:37Z,05-Sep-2024,14:52:37,0.8745,10
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:51:59Z,05-Sep-2024,14:51:59,0.86,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:51:24Z,05-Sep-2024,14:51:24,0.8471,1
House Finch,Haemorhous mexicanus,2024-09-05T21:39:30Z,05-Sep-2024,14:39:30,0.8157,1
House Finch,Haemorhous mexicanus,2024-09-05T21:28:54Z,05-Sep-2024,14:28:54,0.898,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:27:48Z,05-Sep-2024,14:27:48,0.8314,1
Anna's Hummingbird,Calypte anna,2024-09-05T21:26:33Z,05-Sep-2024,14:26:33,0.8863,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:19:15Z,05-Sep-2024,14:19:15,0.8863,10
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:18:04Z,05-Sep-2024,14:18:04,0.72,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:17:47Z,05-Sep-2024,14:17:47,0.53,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:17:39Z,05-Sep-2024,14:17:39,0.71,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:17:02Z,05-Sep-2024,14:17:02,0.95,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:16:45Z,05-Sep-2024,14:16:45,0.44,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T21:16:39Z,05-Sep-2024,14:16:39,0.8627,1
Anna's Hummingbird,Calypte anna,2024-09-05T21:10:47Z,05-Sep-2024,14:10:47,0.8627,1
Chestnut-backed Chickadee,Poecile rufescens,2024-09-05T21:07:30Z,05-Sep-2024,14:07:30,0.8863,1
Anna's Hummingbird,Calypte anna,2024-09-05T21:05:07Z,05-Sep-2024,14:05:07,0.8471,1
Anna's Hummingbird,Calypte anna,2024-09-05T20:59:27Z,05-Sep-2024,13:59:27,0.8627,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T20:51:43Z,05-Sep-2024,13:51:43,0.51,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T20:50:01Z,05-Sep-2024,13:50:01,0.8471,1
Steller's Jay,Cyanocitta stelleri,2024-09-05T20:38:36Z,05-Sep-2024,13:38:36,0.8,20
Steller's Jay,Cyanocitta stelleri,2024-09-05T20:37:35Z,05-Sep-2024,13:37:35,0.9529,18
Steller's Jay,Cyanocitta stelleri,2024-09-05T20:36:34Z,05-Sep-2024,13:36:34,0.9569,20
Steller's Jay,Cyanocitta stelleri,2024-09-05T20:35:31Z,05-Sep-2024,13:35:31,0.949,1
Anna's Hummingbird,Calypte anna,2024-09-05T20:25:28Z,05-Sep-2024,13:25:28,0.9529,1
Anna's Hummingbird,Calypte anna,2024-09-05T19:28:33Z,05-Sep-2024,12:28:33,0.9804,1
House Finch,Haemorhous mexicanus,2024-09-05T19:24:42Z,05-Sep-2024,12:24:42,0.8,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T19:05:46Z,05-Sep-2024,12:05:46,0.8,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T19:05:37Z,05-Sep-2024,12:05:37,0.36,1
House Finch,Haemorhous mexicanus,2024-09-05T19:02:23Z,05-Sep-2024,12:02:23,0.39,1
House Finch,Haemorhous mexicanus,2024-09-05T19:01:52Z,05-Sep-2024,12:01:52,0.8,1
House Finch,Haemorhous mexicanus,2024-09-05T19:01:08Z,05-Sep-2024,12:01:08,0.9333,1
House Finch,Haemorhous mexicanus,2024-09-05T19:00:52Z,05-Sep-2024,12:00:52,0.59,1
House Finch,Haemorhous mexicanus,2024-09-05T18:58:58Z,05-Sep-2024,11:58:58,0.3,1
Osprey,Pandion haliaetus,2024-09-05T18:58:01Z,05-Sep-2024,11:58:01,0.34,1
House Finch,Haemorhous mexicanus,2024-09-05T18:57:44Z,05-Sep-2024,11:57:44,0.31,1
House Finch,Haemorhous mexicanus,2024-09-05T18:57:32Z,05-Sep-2024,11:57:32,0.32,1
Black-headed Grosbeak,Pheucticus melanocephalus,2024-09-05T18:57:23Z,05-Sep-2024,11:57:23,0.45,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T18:57:02Z,05-Sep-2024,11:57:02,0.42,1
House Finch,Haemorhous mexicanus,2024-09-05T18:56:57Z,05-Sep-2024,11:56:57,0.8314,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T18:55:30Z,05-Sep-2024,11:55:30,0.53,1
House Finch,Haemorhous mexicanus,2024-09-05T18:55:07Z,05-Sep-2024,11:55:07,0.31,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T18:54:55Z,05-Sep-2024,11:54:55,0.39,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T18:54:49Z,05-Sep-2024,11:54:49,0.26,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T18:54:33Z,05-Sep-2024,11:54:33,0.28,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T18:54:17Z,05-Sep-2024,11:54:17,0.9176,7
House Finch,Haemorhous mexicanus,2024-09-05T18:53:27Z,05-Sep-2024,11:53:27,0.7804,1
Chestnut-backed Chickadee,Poecile rufescens,2024-09-05T18:53:18Z,05-Sep-2024,11:53:18,0.8,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T18:53:10Z,05-Sep-2024,11:53:10,0.8,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T18:52:24Z,05-Sep-2024,11:52:24,0.31,1
Black-capped Chickadee,Poecile atricapillus,2024-09-05T18:51:59Z,05-Sep-2024,11:51:59,0.8157,1
Downy Woodpecker,Dryobates pubescens,2024-09-05T18:51:34Z,05-Sep-2024,11:51:34,0.31,1
Anna's Hummingbird,Calypte anna,2024-09-05T18:43:25Z,05-Sep-2024,11:43:25,0.8157,1
House Finch,Haemorhous mexicanus,2024-09-05T18:38:13Z,05-Sep-2024,11:38:13,0.9255,1
Anna's Hummingbird,Calypte anna,2024-09-05T18:33:25Z,05-Sep-2024,11:33:25,0.9686,1
American Crow,Corvus brachyrhynchos,2024-09-05T18:06:09Z,05-Sep-2024,11:06:09,0.9098,1
American Crow,Corvus brachyrhynchos,2024-09-05T18:03:21Z,05-Sep-2024,11:03:21,0.8745,1
American Goldfinch,Spinus tristis,2024-09-05T17:59:08Z,05-Sep-2024,10:59:08,0.89,1
Anna's Hummingbird,Calypte anna,2024-09-05T17:44:14Z,05-Sep-2024,10:44:14,0.898,1
Northern Flicker,Colaptes auratus,2024-09-05T17:40:04Z,05-Sep-2024,10:40:04,0.68,1
Northern Flicker,Colaptes auratus,2024-09-05T17:39:56Z,05-Sep-2024,10:39:56,0.36,1
