Species,UTC Date, Local Date, Local Time, Score, Count
Anna's Hummingbird,2024-08-22T23:57:18Z,22-Aug-2024,16:57:18,0.9255,1
Steller's Jay,2024-08-22T23:48:33Z,22-Aug-2024,16:48:33,0.88,1
Steller's Jay,2024-08-22T23:47:49Z,22-Aug-2024,16:47:49,0.9765,1
Steller's Jay,2024-08-22T23:47:42Z,22-Aug-2024,16:47:42,0.99,1
Steller's Jay,2024-08-22T23:47:33Z,22-Aug-2024,16:47:33,0.53,1
Steller's Jay,2024-08-22T23:47:27Z,22-Aug-2024,16:47:27,0.87,1
Steller's Jay,2024-08-22T23:46:20Z,22-Aug-2024,16:46:20,0.9,1
Steller's Jay,2024-08-22T23:46:12Z,22-Aug-2024,16:46:12,0.98,1
Steller's Jay,2024-08-22T23:07:42Z,22-Aug-2024,16:07:42,0.9255,2
Steller's Jay,2024-08-22T23:06:18Z,22-Aug-2024,16:06:18,0.87,1
Steller's Jay,2024-08-22T23:06:12Z,22-Aug-2024,16:06:12,0.9176,1
Steller's Jay,2024-08-22T23:04:32Z,22-Aug-2024,16:04:32,0.73,1
Steller's Jay,2024-08-22T23:04:23Z,22-Aug-2024,16:04:23,0.65,1
Steller's Jay,2024-08-22T23:04:16Z,22-Aug-2024,16:04:16,0.68,1
Steller's Jay,2024-08-22T23:03:26Z,22-Aug-2024,16:03:26,0.7804,5
Steller's Jay,2024-08-22T23:01:51Z,22-Aug-2024,16:01:51,0.9412,6
Steller's Jay,2024-08-22T23:01:46Z,22-Aug-2024,16:01:46,0.78,1
Steller's Jay,2024-08-22T23:01:31Z,22-Aug-2024,16:01:31,0.39,1
Steller's Jay,2024-08-22T23:01:08Z,22-Aug-2024,16:01:08,0.87,1
Steller's Jay,2024-08-22T23:00:59Z,22-Aug-2024,16:00:59,0.67,1
Steller's Jay,2024-08-22T23:00:49Z,22-Aug-2024,16:00:49,0.94,1
Steller's Jay,2024-08-22T23:00:44Z,22-Aug-2024,16:00:44,0.9647,4
Steller's Jay,2024-08-22T23:00:37Z,22-Aug-2024,16:00:37,0.8,1
Steller's Jay,2024-08-22T23:00:22Z,22-Aug-2024,16:00:22,0.68,1
Steller's Jay,2024-08-22T22:59:50Z,22-Aug-2024,15:59:50,0.91,1
Steller's Jay,2024-08-22T22:59:39Z,22-Aug-2024,15:59:39,0.9412,13
Steller's Jay,2024-08-22T22:58:36Z,22-Aug-2024,15:58:36,0.9647,4
Steller's Jay,2024-08-22T22:57:02Z,22-Aug-2024,15:57:02,0.97,1
Steller's Jay,2024-08-22T22:56:48Z,22-Aug-2024,15:56:48,0.9569,1
Anna's Hummingbird,2024-08-22T22:52:33Z,22-Aug-2024,15:52:33,0.7804,1
Anna's Hummingbird,2024-08-22T22:31:36Z,22-Aug-2024,15:31:36,0.9647,1
Anna's Hummingbird,2024-08-22T22:28:04Z,22-Aug-2024,15:28:04,0.9686,1
American Crow,2024-08-22T22:12:11Z,22-Aug-2024,15:12:11,0.8863,1
Barn Owl,2024-08-22T22:09:50Z,22-Aug-2024,15:09:50,0.38,1
Mallard,2024-08-22T21:46:15Z,22-Aug-2024,14:46:15,0.28,1
Anna's Hummingbird,2024-08-22T21:41:53Z,22-Aug-2024,14:41:53,0.9843,1
Steller's Jay,2024-08-22T21:28:44Z,22-Aug-2024,14:28:44,0.63,1
Steller's Jay,2024-08-22T21:28:20Z,22-Aug-2024,14:28:20,0.7804,1
American Crow,2024-08-22T21:23:59Z,22-Aug-2024,14:23:59,0.8745,1
Steller's Jay,2024-08-22T21:18:42Z,22-Aug-2024,14:18:42,0.9686,1
Steller's Jay,2024-08-22T21:18:26Z,22-Aug-2024,14:18:26,0.94,1
Anna's Hummingbird,2024-08-22T21:10:57Z,22-Aug-2024,14:10:57,0.8314,3
Steller's Jay,2024-08-22T21:10:47Z,22-Aug-2024,14:10:47,0.8471,7
Steller's Jay,2024-08-22T21:09:44Z,22-Aug-2024,14:09:44,0.8471,10
Steller's Jay,2024-08-22T21:08:41Z,22-Aug-2024,14:08:41,0.9412,1
House Finch,2024-08-22T21:08:36Z,22-Aug-2024,14:08:36,0.6,1
House Finch,2024-08-22T21:08:17Z,22-Aug-2024,14:08:17,0.7804,1
Barn Swallow,2024-08-22T21:07:54Z,22-Aug-2024,14:07:54,0.54,1
Anna's Hummingbird,2024-08-22T21:07:17Z,22-Aug-2024,14:07:17,0.9176,1
Steller's Jay,2024-08-22T21:04:06Z,22-Aug-2024,14:04:06,0.8314,1
Steller's Jay,2024-08-22T21:04:02Z,22-Aug-2024,14:04:02,0.4,1
Anna's Hummingbird,2024-08-22T21:01:21Z,22-Aug-2024,14:01:21,0.898,1
Mallard,2024-08-22T20:59:38Z,22-Aug-2024,13:59:38,0.67,1
Steller's Jay,2024-08-22T20:58:26Z,22-Aug-2024,13:58:26,0.949,1
Steller's Jay,2024-08-22T20:40:59Z,22-Aug-2024,13:40:59,0.9255,1
Anna's Hummingbird,2024-08-22T20:38:26Z,22-Aug-2024,13:38:26,0.9804,1
Anna's Hummingbird,2024-08-22T20:31:37Z,22-Aug-2024,13:31:37,0.9255,2
Anna's Hummingbird,2024-08-22T20:29:44Z,22-Aug-2024,13:29:44,0.949,1
Anna's Hummingbird,2024-08-22T20:27:41Z,22-Aug-2024,13:27:41,0.8157,1
Steller's Jay,2024-08-22T19:52:15Z,22-Aug-2024,12:52:15,0.9529,1
House Finch,2024-08-22T19:43:47Z,22-Aug-2024,12:43:47,0.7804,1
House Finch,2024-08-22T19:43:41Z,22-Aug-2024,12:43:41,0.58,1
House Finch,2024-08-22T19:36:49Z,22-Aug-2024,12:36:49,0.79,1
House Finch,2024-08-22T19:36:35Z,22-Aug-2024,12:36:35,0.26,1
House Finch,2024-08-22T19:36:26Z,22-Aug-2024,12:36:26,0.51,1
Steller's Jay,2024-08-22T19:34:16Z,22-Aug-2024,12:34:16,0.8471,7
Steller's Jay,2024-08-22T19:34:10Z,22-Aug-2024,12:34:10,0.49,1
Steller's Jay,2024-08-22T19:33:37Z,22-Aug-2024,12:33:37,0.33,1
House Finch,2024-08-22T19:32:55Z,22-Aug-2024,12:32:55,0.43,1
Steller's Jay,2024-08-22T19:32:48Z,22-Aug-2024,12:32:48,0.4,1
House Finch,2024-08-22T19:32:40Z,22-Aug-2024,12:32:40,0.77,1
Steller's Jay,2024-08-22T19:32:14Z,22-Aug-2024,12:32:14,0.55,1
Steller's Jay,2024-08-22T19:32:03Z,22-Aug-2024,12:32:03,0.8471,12
Steller's Jay,2024-08-22T19:31:15Z,22-Aug-2024,12:31:15,0.99,1
Steller's Jay,2024-08-22T19:30:34Z,22-Aug-2024,12:30:34,0.7804,10
Steller's Jay,2024-08-22T19:29:32Z,22-Aug-2024,12:29:32,0.8471,8
Steller's Jay,2024-08-22T19:28:25Z,22-Aug-2024,12:28:25,0.8,1
Steller's Jay,2024-08-22T19:28:18Z,22-Aug-2024,12:28:18,0.93,1
Steller's Jay,2024-08-22T19:28:06Z,22-Aug-2024,12:28:06,0.8745,1
Steller's Jay,2024-08-22T19:13:36Z,22-Aug-2024,12:13:36,0.7804,1
Steller's Jay,2024-08-22T19:08:57Z,22-Aug-2024,12:08:57,0.8157,1
House Finch,2024-08-22T19:03:43Z,22-Aug-2024,12:03:43,0.8157,1
Steller's Jay,2024-08-22T19:03:18Z,22-Aug-2024,12:03:18,0.9333,1
House Finch,2024-08-22T19:03:07Z,22-Aug-2024,12:03:07,0.82,1
Steller's Jay,2024-08-22T19:02:53Z,22-Aug-2024,12:02:53,0.7,1
House Finch,2024-08-22T19:02:36Z,22-Aug-2024,12:02:36,0.37,1
House Finch,2024-08-22T19:00:09Z,22-Aug-2024,12:00:09,0.8157,1
Steller's Jay,2024-08-22T18:44:21Z,22-Aug-2024,11:44:21,0.85,1
Steller's Jay,2024-08-22T18:43:46Z,22-Aug-2024,11:43:46,0.9569,1
Steller's Jay,2024-08-22T18:43:35Z,22-Aug-2024,11:43:35,0.46,1
Steller's Jay,2024-08-22T18:43:24Z,22-Aug-2024,11:43:24,0.71,1
Black-capped Chickadee,2024-08-22T18:34:22Z,22-Aug-2024,11:34:22,0.31,1
Black-capped Chickadee,2024-08-22T18:34:08Z,22-Aug-2024,11:34:08,0.27,1
Steller's Jay,2024-08-22T18:28:19Z,22-Aug-2024,11:28:19,0.7804,1
American Crow,2024-08-22T18:26:40Z,22-Aug-2024,11:26:40,0.34,1
Anna's Hummingbird,2024-08-22T18:26:29Z,22-Aug-2024,11:26:29,0.8627,3
Anna's Hummingbird,2024-08-22T18:23:54Z,22-Aug-2024,11:23:54,0.7804,1
Steller's Jay,2024-08-22T18:20:18Z,22-Aug-2024,11:20:18,0.4,1
Black-capped Chickadee,2024-08-22T18:07:30Z,22-Aug-2024,11:07:30,0.8627,1
Orange-crowned Warbler,2024-08-22T18:04:06Z,22-Aug-2024,11:04:06,0.39,1
Steller's Jay,2024-08-22T18:03:56Z,22-Aug-2024,11:03:56,0.35,1
Steller's Jay,2024-08-22T18:03:25Z,22-Aug-2024,11:03:25,0.9098,1
Bushtit,2024-08-22T18:02:57Z,22-Aug-2024,11:02:57,0.35,1
Anna's Hummingbird,2024-08-22T17:59:49Z,22-Aug-2024,10:59:49,0.8314,1
Steller's Jay,2024-08-22T17:55:14Z,22-Aug-2024,10:55:14,0.9255,10
Steller's Jay,2024-08-22T17:54:34Z,22-Aug-2024,10:54:34,0.28,1
Steller's Jay,2024-08-22T17:54:18Z,22-Aug-2024,10:54:18,0.59,1
Steller's Jay,2024-08-22T17:54:11Z,22-Aug-2024,10:54:11,0.9765,3
Anna's Hummingbird,2024-08-22T17:53:34Z,22-Aug-2024,10:53:34,0.8863,1
Steller's Jay,2024-08-22T17:53:10Z,22-Aug-2024,10:53:10,0.9098,6
Steller's Jay,2024-08-22T17:53:02Z,22-Aug-2024,10:53:02,0.82,1
Steller's Jay,2024-08-22T17:52:48Z,22-Aug-2024,10:52:48,0.74,1
Steller's Jay,2024-08-22T17:52:26Z,22-Aug-2024,10:52:26,0.9,1
Steller's Jay,2024-08-22T17:52:09Z,22-Aug-2024,10:52:09,0.8863,1
Black-capped Chickadee,2024-08-22T17:51:15Z,22-Aug-2024,10:51:15,0.8314,1
Bewick's Wren,2024-08-22T17:42:12Z,22-Aug-2024,10:42:12,0.26,1
Bewick's Wren,2024-08-22T17:41:10Z,22-Aug-2024,10:41:10,0.57,1
Bewick's Wren,2024-08-22T17:41:03Z,22-Aug-2024,10:41:03,0.43,1
Black-capped Chickadee,2024-08-22T17:39:01Z,22-Aug-2024,10:39:01,0.27,1
Black-capped Chickadee,2024-08-22T17:38:08Z,22-Aug-2024,10:38:08,0.7804,2
Black-capped Chickadee,2024-08-22T17:37:18Z,22-Aug-2024,10:37:18,0.32,1
Black-capped Chickadee,2024-08-22T17:37:03Z,22-Aug-2024,10:37:03,0.8,2
Bushtit,2024-08-22T17:36:22Z,22-Aug-2024,10:36:22,0.4,1
Bushtit,2024-08-22T17:35:58Z,22-Aug-2024,10:35:58,0.66,1
Bushtit,2024-08-22T17:35:48Z,22-Aug-2024,10:35:48,0.65,1
Bushtit,2024-08-22T17:35:43Z,22-Aug-2024,10:35:43,0.97,1
Anna's Hummingbird,2024-08-22T17:35:34Z,22-Aug-2024,10:35:34,0.67,1
Anna's Hummingbird,2024-08-22T17:35:16Z,22-Aug-2024,10:35:16,0.9647,1
Steller's Jay,2024-08-22T17:33:42Z,22-Aug-2024,10:33:42,0.8157,1
Anna's Hummingbird,2024-08-22T17:33:37Z,22-Aug-2024,10:33:37,0.8314,3
Steller's Jay,2024-08-22T17:33:10Z,22-Aug-2024,10:33:10,0.6,1
Black-capped Chickadee,2024-08-22T17:32:36Z,22-Aug-2024,10:32:36,0.7804,1
Anna's Hummingbird,2024-08-22T17:31:48Z,22-Aug-2024,10:31:48,0.9569,1
Black-capped Chickadee,2024-08-22T17:31:08Z,22-Aug-2024,10:31:08,0.898,3
Steller's Jay,2024-08-22T17:30:53Z,22-Aug-2024,10:30:53,0.7804,1
Black-capped Chickadee,2024-08-22T17:29:24Z,22-Aug-2024,10:29:24,0.8314,1
Black-capped Chickadee,2024-08-22T17:27:48Z,22-Aug-2024,10:27:48,0.898,1
Anna's Hummingbird,2024-08-22T17:24:46Z,22-Aug-2024,10:24:46,0.9098,2
Red-breasted Nuthatch,2024-08-22T17:24:29Z,22-Aug-2024,10:24:29,0.72,1
Red-breasted Nuthatch,2024-08-22T17:24:21Z,22-Aug-2024,10:24:21,0.66,1
Red-breasted Nuthatch,2024-08-22T17:24:09Z,22-Aug-2024,10:24:09,0.7,1
Red-breasted Nuthatch,2024-08-22T17:24:00Z,22-Aug-2024,10:24:00,0.88,1
Red-breasted Nuthatch,2024-08-22T17:23:53Z,22-Aug-2024,10:23:53,0.87,1
Anna's Hummingbird,2024-08-22T17:23:36Z,22-Aug-2024,10:23:36,0.9529,1
Red-breasted Nuthatch,2024-08-22T17:23:17Z,22-Aug-2024,10:23:17,0.92,1
Red-breasted Nuthatch,2024-08-22T17:23:09Z,22-Aug-2024,10:23:09,0.85,1
Bushtit,2024-08-22T17:13:14Z,22-Aug-2024,10:13:14,0.56,1
Anna's Hummingbird,2024-08-22T17:13:06Z,22-Aug-2024,10:13:06,0.9098,1
House Finch,2024-08-22T17:11:22Z,22-Aug-2024,10:11:22,0.8745,1
Red-breasted Nuthatch,2024-08-22T17:11:09Z,22-Aug-2024,10:11:09,0.73,1
Golden-crowned Kinglet,2024-08-22T17:09:54Z,22-Aug-2024,10:09:54,0.33,1
Red-breasted Nuthatch,2024-08-22T17:09:46Z,22-Aug-2024,10:09:46,0.7,1
Red-breasted Nuthatch,2024-08-22T17:09:27Z,22-Aug-2024,10:09:27,0.65,1
