Species,UTC Date, Local Date, Local Time, Score, Count
Anna's Hummingbird,2024-01-26T23:08:21Z,26-Jan-2024,15:08:21,0.8549,1
American Crow,2024-01-26T23:03:12Z,26-Jan-2024,15:03:12,0.26,1
American Crow,2024-01-26T22:53:27Z,26-Jan-2024,14:53:27,0.902,1
Steller's Jay,2024-01-26T22:51:39Z,26-Jan-2024,14:51:39,0.8667,1
American Crow,2024-01-26T22:42:21Z,26-Jan-2024,14:42:21,0.8392,1
Anna's Hummingbird,2024-01-26T22:00:48Z,26-Jan-2024,14:00:48,0.9098,1
Anna's Hummingbird,2024-01-26T21:46:39Z,26-Jan-2024,13:46:39,0.902,1
American Crow,2024-01-26T21:43:56Z,26-Jan-2024,13:43:56,0.7882,4
Anna's Hummingbird,2024-01-26T21:43:51Z,26-Jan-2024,13:43:51,0.8784,8
Anna's Hummingbird,2024-01-26T21:41:48Z,26-Jan-2024,13:41:48,0.9216,1
American Crow,2024-01-26T21:41:06Z,26-Jan-2024,13:41:06,0.902,1
Steller's Jay,2024-01-26T21:38:48Z,26-Jan-2024,13:38:48,0.9647,13
Steller's Jay,2024-01-26T21:37:47Z,26-Jan-2024,13:37:47,0.8902,11
Steller's Jay,2024-01-26T21:37:35Z,26-Jan-2024,13:37:35,0.87,1
Steller's Jay,2024-01-26T21:37:18Z,26-Jan-2024,13:37:18,0.89,1
Golden-crowned Kinglet,2024-01-26T21:36:57Z,26-Jan-2024,13:36:57,0.85,1
Steller's Jay,2024-01-26T21:36:46Z,26-Jan-2024,13:36:46,0.9333,9
Steller's Jay,2024-01-26T21:36:41Z,26-Jan-2024,13:36:41,0.89,1
Steller's Jay,2024-01-26T21:36:30Z,26-Jan-2024,13:36:30,0.89,1
Steller's Jay,2024-01-26T21:36:17Z,26-Jan-2024,13:36:17,0.78,1
Golden-crowned Kinglet,2024-01-26T21:35:45Z,26-Jan-2024,13:35:45,0.39,1
Steller's Jay,2024-01-26T21:35:38Z,26-Jan-2024,13:35:38,0.9647,1
Steller's Jay,2024-01-26T21:35:30Z,26-Jan-2024,13:35:30,0.94,1
Golden-crowned Kinglet,2024-01-26T21:35:17Z,26-Jan-2024,13:35:17,0.37,1
Golden-crowned Kinglet,2024-01-26T21:35:03Z,26-Jan-2024,13:35:03,0.44,1
Chestnut-backed Chickadee,2024-01-26T21:34:21Z,26-Jan-2024,13:34:21,0.9294,3
Chestnut-backed Chickadee,2024-01-26T21:33:18Z,26-Jan-2024,13:33:18,0.949,4
Chestnut-backed Chickadee,2024-01-26T21:32:09Z,26-Jan-2024,13:32:09,0.9098,2
Black-capped Chickadee,2024-01-26T21:31:30Z,26-Jan-2024,13:31:30,0.8784,1
Chestnut-backed Chickadee,2024-01-26T21:30:48Z,26-Jan-2024,13:30:48,0.9294,12
Chestnut-backed Chickadee,2024-01-26T21:30:33Z,26-Jan-2024,13:30:33,0.66,1
Chestnut-backed Chickadee,2024-01-26T21:29:30Z,26-Jan-2024,13:29:30,0.9333,2
Bushtit,2024-01-26T21:28:52Z,26-Jan-2024,13:28:52,0.77,1
Bushtit,2024-01-26T21:28:45Z,26-Jan-2024,13:28:45,0.91,1
Chestnut-backed Chickadee,2024-01-26T21:27:49Z,26-Jan-2024,13:27:49,0.8902,1
Chestnut-backed Chickadee,2024-01-26T21:27:45Z,26-Jan-2024,13:27:45,0.5,1
Anna's Hummingbird,2024-01-26T21:19:19Z,26-Jan-2024,13:19:19,0.9098,1
American Crow,2024-01-26T21:18:48Z,26-Jan-2024,13:18:48,0.9098,1
Anna's Hummingbird,2024-01-26T21:17:14Z,26-Jan-2024,13:17:14,0.8549,1
American Crow,2024-01-26T21:16:00Z,26-Jan-2024,13:16:00,0.8235,1
