Species,UTC Date, Local Date, Local Time, Score, Count
Cedar Waxwing,2024-08-04T23:45:51Z,04-Aug-2024,16:45:51,0.83,1
Cedar Waxwing,2024-08-04T23:45:43Z,04-Aug-2024,16:45:43,0.7,1
Bushtit,2024-08-04T23:45:36Z,04-Aug-2024,16:45:36,0.93,1
Bushtit,2024-08-04T23:45:30Z,04-Aug-2024,16:45:30,0.9,1
Bushtit,2024-08-04T23:45:23Z,04-Aug-2024,16:45:23,0.98,1
Bushtit,2024-08-04T23:45:16Z,04-Aug-2024,16:45:16,0.96,1
Bushtit,2024-08-04T23:45:10Z,04-Aug-2024,16:45:10,0.89,1
American Crow,2024-08-04T23:29:28Z,04-Aug-2024,16:29:28,0.8627,1
American Crow,2024-08-04T23:26:17Z,04-Aug-2024,16:26:17,0.8,1
American Crow,2024-08-04T23:24:49Z,04-Aug-2024,16:24:49,0.8471,1
American Crow,2024-08-04T23:15:16Z,04-Aug-2024,16:15:16,0.47,1
Bushtit,2024-08-04T22:48:57Z,04-Aug-2024,15:48:57,0.83,1
Bushtit,2024-08-04T22:48:36Z,04-Aug-2024,15:48:36,0.99,1
Bushtit,2024-08-04T22:48:30Z,04-Aug-2024,15:48:30,0.83,1
Bushtit,2024-08-04T22:48:23Z,04-Aug-2024,15:48:23,0.81,1
Bushtit,2024-08-04T22:48:15Z,04-Aug-2024,15:48:15,0.64,1
Bushtit,2024-08-04T22:48:07Z,04-Aug-2024,15:48:07,0.9,1
Bushtit,2024-08-04T22:48:01Z,04-Aug-2024,15:48:01,0.97,1
Bushtit,2024-08-04T22:47:48Z,04-Aug-2024,15:47:48,0.47,1
Bushtit,2024-08-04T22:47:41Z,04-Aug-2024,15:47:41,0.86,1
Bushtit,2024-08-04T22:47:33Z,04-Aug-2024,15:47:33,0.98,1
Bushtit,2024-08-04T22:47:23Z,04-Aug-2024,15:47:23,0.91,1
Bushtit,2024-08-04T22:47:15Z,04-Aug-2024,15:47:15,0.94,1
Bushtit,2024-08-04T22:47:09Z,04-Aug-2024,15:47:09,0.96,1
Bushtit,2024-08-04T22:47:03Z,04-Aug-2024,15:47:03,0.94,1
Bushtit,2024-08-04T22:46:56Z,04-Aug-2024,15:46:56,0.57,1
Bushtit,2024-08-04T22:46:46Z,04-Aug-2024,15:46:46,0.87,1
Bushtit,2024-08-04T22:42:34Z,04-Aug-2024,15:42:34,0.66,1
Bushtit,2024-08-04T22:42:26Z,04-Aug-2024,15:42:26,0.78,1
Bushtit,2024-08-04T22:42:17Z,04-Aug-2024,15:42:17,0.91,1
Bushtit,2024-08-04T22:42:11Z,04-Aug-2024,15:42:11,0.68,1
Bushtit,2024-08-04T22:42:04Z,04-Aug-2024,15:42:04,0.81,1
Bushtit,2024-08-04T22:41:56Z,04-Aug-2024,15:41:56,0.81,1
Bushtit,2024-08-04T22:41:50Z,04-Aug-2024,15:41:50,0.83,1
Bushtit,2024-08-04T22:41:43Z,04-Aug-2024,15:41:43,0.68,1
Bushtit,2024-08-04T22:41:35Z,04-Aug-2024,15:41:35,0.93,1
Bushtit,2024-08-04T22:41:08Z,04-Aug-2024,15:41:08,0.57,1
Bushtit,2024-08-04T22:41:00Z,04-Aug-2024,15:41:00,0.32,1
Bushtit,2024-08-04T22:40:53Z,04-Aug-2024,15:40:53,0.46,1
Bushtit,2024-08-04T22:40:44Z,04-Aug-2024,15:40:44,0.74,1
Bushtit,2024-08-04T22:40:36Z,04-Aug-2024,15:40:36,0.94,1
Bushtit,2024-08-04T22:40:29Z,04-Aug-2024,15:40:29,0.87,1
