Species,UTC Date, Local Date, Local Time, Score, Count
American Crow,2023-12-31T23:56:17Z,31-Dec-2023,15:56:17,0.7882,3
American Crow,2023-12-31T23:53:23Z,31-Dec-2023,15:53:23,0.949,9
American Crow,2023-12-31T23:52:20Z,31-Dec-2023,15:52:20,0.9216,4
American Crow,2023-12-31T23:51:14Z,31-Dec-2023,15:51:14,0.9686,2
Anna's Hummingbird,2023-12-31T23:46:57Z,31-Dec-2023,15:46:57,0.8078,5
House Finch,2023-12-31T23:46:38Z,31-Dec-2023,15:46:38,0.31,1
House Finch,2023-12-31T23:46:13Z,31-Dec-2023,15:46:13,0.8902,1
House Finch,2023-12-31T23:46:09Z,31-Dec-2023,15:46:09,0.29,1
American Crow,2023-12-31T23:45:45Z,31-Dec-2023,15:45:45,0.8784,2
Anna's Hummingbird,2023-12-31T23:45:25Z,31-Dec-2023,15:45:25,0.8667,1
American Crow,2023-12-31T23:44:23Z,31-Dec-2023,15:44:23,0.8549,1
Anna's Hummingbird,2023-12-31T23:42:39Z,31-Dec-2023,15:42:39,0.8549,1
American Crow,2023-12-31T23:42:32Z,31-Dec-2023,15:42:32,0.8549,3
American Crow,2023-12-31T23:41:17Z,31-Dec-2023,15:41:17,0.8902,1
American Crow,2023-12-31T23:39:53Z,31-Dec-2023,15:39:53,0.8667,2
American Crow,2023-12-31T23:38:38Z,31-Dec-2023,15:38:38,0.9216,1
Red-breasted Nuthatch,2023-12-31T23:31:15Z,31-Dec-2023,15:31:15,0.29,1
House Finch,2023-12-31T23:31:11Z,31-Dec-2023,15:31:11,0.8392,1
Red-breasted Nuthatch,2023-12-31T23:26:43Z,31-Dec-2023,15:26:43,0.63,1
Red-breasted Nuthatch,2023-12-31T23:26:36Z,31-Dec-2023,15:26:36,0.64,1
Red-breasted Nuthatch,2023-12-31T23:26:29Z,31-Dec-2023,15:26:29,0.77,1
Red-breasted Nuthatch,2023-12-31T23:26:22Z,31-Dec-2023,15:26:22,0.86,1
Red-breasted Nuthatch,2023-12-31T23:26:16Z,31-Dec-2023,15:26:16,0.9,1
