Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
House Finch,Haemorhous mexicanus,2025-03-14T23:59:31Z,14-Mar-2025,16:59:31,0.48,1
Mallard,Anas platyrhynchos,2025-03-14T23:58:17Z,14-Mar-2025,16:58:17,0.26,1
Anna's Hummingbird,Calypte anna,2025-03-14T23:58:09Z,14-Mar-2025,16:58:09,0.8627,2
Mallard,Anas platyrhynchos,2025-03-14T23:57:16Z,14-Mar-2025,16:57:16,0.71,1
Mallard,Anas platyrhynchos,2025-03-14T23:57:02Z,14-Mar-2025,16:57:02,0.52,1
Anna's Hummingbird,Calypte anna,2025-03-14T23:55:05Z,14-Mar-2025,16:55:05,0.7804,1
American Robin,Turdus migratorius,2025-03-14T23:54:00Z,14-Mar-2025,16:54:00,0.41,1
Anna's Hummingbird,Calypte anna,2025-03-14T23:48:44Z,14-Mar-2025,16:48:44,0.9765,1
American Robin,Turdus migratorius,2025-03-14T23:46:05Z,14-Mar-2025,16:46:05,0.7804,1
American Crow,Corvus brachyrhynchos,2025-03-14T23:43:59Z,14-Mar-2025,16:43:59,0.8627,1
Ruby-crowned Kinglet,Corthylio calendula,2025-03-14T23:35:35Z,14-Mar-2025,16:35:35,0.28,1
Ruby-crowned Kinglet,Corthylio calendula,2025-03-14T23:30:59Z,14-Mar-2025,16:30:59,0.97,1
Ruby-crowned Kinglet,Corthylio calendula,2025-03-14T23:30:18Z,14-Mar-2025,16:30:18,0.94,1
Ruby-crowned Kinglet,Corthylio calendula,2025-03-14T23:30:11Z,14-Mar-2025,16:30:11,0.81,1
American Goldfinch,Spinus tristis,2025-03-14T23:27:52Z,14-Mar-2025,16:27:52,0.9843,1
American Goldfinch,Spinus tristis,2025-03-14T23:26:41Z,14-Mar-2025,16:26:41,0.8627,1
Ruby-crowned Kinglet,Corthylio calendula,2025-03-14T23:23:55Z,14-Mar-2025,16:23:55,0.89,1
American Crow,Corvus brachyrhynchos,2025-03-14T23:23:37Z,14-Mar-2025,16:23:37,0.949,2
American Crow,Corvus brachyrhynchos,2025-03-14T23:22:14Z,14-Mar-2025,16:22:14,0.8627,1
Common Redpoll,Acanthis flammea,2025-03-14T23:19:42Z,14-Mar-2025,16:19:42,0.53,1
Golden-crowned Kinglet,Regulus satrapa,2025-03-14T23:17:53Z,14-Mar-2025,16:17:53,0.6,1
Golden-crowned Kinglet,Regulus satrapa,2025-03-14T23:17:43Z,14-Mar-2025,16:17:43,0.35,1
