Species,UTC Date, Local Date, Local Time, Score, Count
Steller's Jay,2024-08-21T23:59:55Z,21-Aug-2024,16:59:55,0.8627,1
Steller's Jay,2024-08-21T23:58:43Z,21-Aug-2024,16:58:43,0.949,1
Steller's Jay,2024-08-21T23:51:55Z,21-Aug-2024,16:51:55,0.38,1
Steller's Jay,2024-08-21T23:50:34Z,21-Aug-2024,16:50:34,0.9412,2
Steller's Jay,2024-08-21T23:50:16Z,21-Aug-2024,16:50:16,0.97,1
Steller's Jay,2024-08-21T23:48:31Z,21-Aug-2024,16:48:31,0.898,1
Western Tanager,2024-08-21T23:46:43Z,21-Aug-2024,16:46:43,0.92,1
House Finch,2024-08-21T22:52:29Z,21-Aug-2024,15:52:29,0.34,1
American Crow,2024-08-21T22:32:06Z,21-Aug-2024,15:32:06,0.8,4
American Crow,2024-08-21T22:31:01Z,21-Aug-2024,15:31:01,0.8157,1
American Crow,2024-08-21T22:29:34Z,21-Aug-2024,15:29:34,0.898,2
American Crow,2024-08-21T22:27:10Z,21-Aug-2024,15:27:10,0.8,1
American Crow,2024-08-21T22:22:52Z,21-Aug-2024,15:22:52,0.8314,1
Bewick's Wren,2024-08-21T22:20:48Z,21-Aug-2024,15:20:48,0.57,1
Bewick's Wren,2024-08-21T22:20:40Z,21-Aug-2024,15:20:40,0.61,1
Bewick's Wren,2024-08-21T22:20:34Z,21-Aug-2024,15:20:34,0.67,1
Anna's Hummingbird,2024-08-21T22:17:31Z,21-Aug-2024,15:17:31,0.8863,3
American Crow,2024-08-21T22:16:45Z,21-Aug-2024,15:16:45,0.8314,1
Anna's Hummingbird,2024-08-21T22:16:28Z,21-Aug-2024,15:16:28,0.8471,1
Anna's Hummingbird,2024-08-21T22:12:52Z,21-Aug-2024,15:12:52,0.31,1
American Crow,2024-08-21T22:10:11Z,21-Aug-2024,15:10:11,0.39,1
Anna's Hummingbird,2024-08-21T22:09:52Z,21-Aug-2024,15:09:52,0.9765,1
American Crow,2024-08-21T22:09:19Z,21-Aug-2024,15:09:19,0.37,1
Anna's Hummingbird,2024-08-21T21:58:36Z,21-Aug-2024,14:58:36,0.898,1
Golden-crowned Kinglet,2024-08-21T21:55:18Z,21-Aug-2024,14:55:18,0.35,1
Steller's Jay,2024-08-21T21:35:00Z,21-Aug-2024,14:35:00,0.35,1
Anna's Hummingbird,2024-08-21T21:07:07Z,21-Aug-2024,14:07:07,0.898,14
Anna's Hummingbird,2024-08-21T21:05:58Z,21-Aug-2024,14:05:58,0.9412,9
Anna's Hummingbird,2024-08-21T21:04:31Z,21-Aug-2024,14:04:31,0.898,10
Anna's Hummingbird,2024-08-21T21:03:37Z,21-Aug-2024,14:03:37,0.33,1
Anna's Hummingbird,2024-08-21T21:03:25Z,21-Aug-2024,14:03:25,0.8627,4
Anna's Hummingbird,2024-08-21T21:01:51Z,21-Aug-2024,14:01:51,0.8157,1
Western Tanager,2024-08-21T20:57:23Z,21-Aug-2024,13:57:23,0.44,1
Western Tanager,2024-08-21T20:57:01Z,21-Aug-2024,13:57:01,0.57,1
Steller's Jay,2024-08-21T20:50:14Z,21-Aug-2024,13:50:14,0.45,1
Steller's Jay,2024-08-21T20:49:51Z,21-Aug-2024,13:49:51,0.86,1
Steller's Jay,2024-08-21T20:49:37Z,21-Aug-2024,13:49:37,0.8,3
Steller's Jay,2024-08-21T20:49:32Z,21-Aug-2024,13:49:32,0.85,1
Steller's Jay,2024-08-21T20:49:24Z,21-Aug-2024,13:49:24,0.74,1
Steller's Jay,2024-08-21T20:49:13Z,21-Aug-2024,13:49:13,0.65,1
Steller's Jay,2024-08-21T20:48:47Z,21-Aug-2024,13:48:47,0.74,1
Steller's Jay,2024-08-21T20:48:39Z,21-Aug-2024,13:48:39,0.91,1
Steller's Jay,2024-08-21T20:48:28Z,21-Aug-2024,13:48:28,0.8471,1
Steller's Jay,2024-08-21T20:47:51Z,21-Aug-2024,13:47:51,0.58,1
Chestnut-backed Chickadee,2024-08-21T20:24:05Z,21-Aug-2024,13:24:05,0.8745,1
Red-breasted Nuthatch,2024-08-21T20:11:56Z,21-Aug-2024,13:11:56,0.96,1
Red-breasted Nuthatch,2024-08-21T20:11:48Z,21-Aug-2024,13:11:48,0.82,1
Bewick's Wren,2024-08-21T20:11:30Z,21-Aug-2024,13:11:30,0.78,1
Bewick's Wren,2024-08-21T20:11:24Z,21-Aug-2024,13:11:24,0.65,1
Red-breasted Nuthatch,2024-08-21T20:10:51Z,21-Aug-2024,13:10:51,0.77,1
Bushtit,2024-08-21T20:10:16Z,21-Aug-2024,13:10:16,0.86,1
Red-breasted Nuthatch,2024-08-21T20:10:06Z,21-Aug-2024,13:10:06,0.76,1
Red-breasted Nuthatch,2024-08-21T20:09:58Z,21-Aug-2024,13:09:58,0.66,1
Red-breasted Nuthatch,2024-08-21T20:09:48Z,21-Aug-2024,13:09:48,0.61,1
Red-breasted Nuthatch,2024-08-21T20:09:41Z,21-Aug-2024,13:09:41,0.9,1
Red-breasted Nuthatch,2024-08-21T20:09:33Z,21-Aug-2024,13:09:33,0.61,1
Red-breasted Nuthatch,2024-08-21T20:08:17Z,21-Aug-2024,13:08:17,0.46,1
Red-breasted Nuthatch,2024-08-21T20:08:09Z,21-Aug-2024,13:08:09,0.59,1
Red-breasted Nuthatch,2024-08-21T20:07:58Z,21-Aug-2024,13:07:58,0.94,1
Red-breasted Nuthatch,2024-08-21T20:07:47Z,21-Aug-2024,13:07:47,0.84,1
Red-breasted Nuthatch,2024-08-21T20:07:36Z,21-Aug-2024,13:07:36,0.94,1
Red-breasted Nuthatch,2024-08-21T20:07:30Z,21-Aug-2024,13:07:30,0.79,1
Red-breasted Nuthatch,2024-08-21T20:07:24Z,21-Aug-2024,13:07:24,0.9,1
Red-breasted Nuthatch,2024-08-21T20:07:13Z,21-Aug-2024,13:07:13,0.59,1
Red-breasted Nuthatch,2024-08-21T20:07:07Z,21-Aug-2024,13:07:07,0.84,1
Red-breasted Nuthatch,2024-08-21T20:06:48Z,21-Aug-2024,13:06:48,0.81,1
House Finch,2024-08-21T20:03:08Z,21-Aug-2024,13:03:08,0.82,1
House Finch,2024-08-21T20:03:03Z,21-Aug-2024,13:03:03,0.8,2
House Finch,2024-08-21T20:01:53Z,21-Aug-2024,13:01:53,0.8314,1
American Crow,2024-08-21T19:51:21Z,21-Aug-2024,12:51:21,0.8627,1
Red-breasted Nuthatch,2024-08-21T19:48:27Z,21-Aug-2024,12:48:27,0.29,1
Golden-crowned Kinglet,2024-08-21T19:43:42Z,21-Aug-2024,12:43:42,0.65,1
Golden-crowned Kinglet,2024-08-21T19:43:33Z,21-Aug-2024,12:43:33,0.78,1
Golden-crowned Kinglet,2024-08-21T19:43:15Z,21-Aug-2024,12:43:15,0.63,1
American Crow,2024-08-21T19:28:30Z,21-Aug-2024,12:28:30,0.8471,1
Anna's Hummingbird,2024-08-21T19:17:40Z,21-Aug-2024,12:17:40,0.898,1
Bewick's Wren,2024-08-21T19:14:39Z,21-Aug-2024,12:14:39,0.34,1
Bewick's Wren,2024-08-21T19:14:12Z,21-Aug-2024,12:14:12,0.4,1
Steller's Jay,2024-08-21T19:12:45Z,21-Aug-2024,12:12:45,0.8471,1
Chestnut-backed Chickadee,2024-08-21T19:10:18Z,21-Aug-2024,12:10:18,0.7804,1
Anna's Hummingbird,2024-08-21T19:09:54Z,21-Aug-2024,12:09:54,0.8863,16
Anna's Hummingbird,2024-08-21T19:08:53Z,21-Aug-2024,12:08:53,0.9176,12
Anna's Hummingbird,2024-08-21T19:07:51Z,21-Aug-2024,12:07:51,0.9569,1
Golden-crowned Kinglet,2024-08-21T19:07:04Z,21-Aug-2024,12:07:04,0.6,1
Golden-crowned Kinglet,2024-08-21T19:06:57Z,21-Aug-2024,12:06:57,0.41,1
Chestnut-backed Chickadee,2024-08-21T18:57:09Z,21-Aug-2024,11:57:09,0.56,1
Golden-crowned Kinglet,2024-08-21T18:56:51Z,21-Aug-2024,11:56:51,0.8,1
Chestnut-backed Chickadee,2024-08-21T18:53:15Z,21-Aug-2024,11:53:15,0.898,7
Orange-crowned Warbler,2024-08-21T18:52:52Z,21-Aug-2024,11:52:52,0.69,1
Chestnut-backed Chickadee,2024-08-21T18:52:44Z,21-Aug-2024,11:52:44,0.55,1
Chestnut-backed Chickadee,2024-08-21T18:52:27Z,21-Aug-2024,11:52:27,0.79,1
Chestnut-backed Chickadee,2024-08-21T18:52:09Z,21-Aug-2024,11:52:09,0.77,1
Chestnut-backed Chickadee,2024-08-21T18:52:03Z,21-Aug-2024,11:52:03,0.9176,1
Western Tanager,2024-08-21T18:44:14Z,21-Aug-2024,11:44:14,0.96,1
Steller's Jay,2024-08-21T18:44:02Z,21-Aug-2024,11:44:02,0.77,1
Steller's Jay,2024-08-21T18:43:42Z,21-Aug-2024,11:43:42,0.89,1
Steller's Jay,2024-08-21T18:43:30Z,21-Aug-2024,11:43:30,0.8745,1
Western Tanager,2024-08-21T18:42:30Z,21-Aug-2024,11:42:30,0.96,1
Western Tanager,2024-08-21T18:42:04Z,21-Aug-2024,11:42:04,0.86,1
Western Tanager,2024-08-21T18:41:42Z,21-Aug-2024,11:41:42,0.97,1
Western Tanager,2024-08-21T18:41:28Z,21-Aug-2024,11:41:28,0.48,1
Cooper's Hawk,2024-08-21T18:40:20Z,21-Aug-2024,11:40:20,0.55,1
