Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Anna's Hummingbird,Calypte anna,2025-11-09T23:58:03Z,09-Nov-2025,15:58:03,0.9882,9
Anna's Hummingbird,Calypte anna,2025-11-09T23:57:00Z,09-Nov-2025,15:57:00,0.8471,1
Downy Woodpecker,Dryobates pubescens,2025-11-09T23:49:30Z,09-Nov-2025,15:49:30,0.7804,1
Downy Woodpecker,Dryobates pubescens,2025-11-09T23:49:24Z,09-Nov-2025,15:49:24,0.57,1
House Finch,Haemorhous mexicanus,2025-11-09T23:27:39Z,09-Nov-2025,15:27:39,0.39,1
American Crow,Corvus brachyrhynchos,2025-11-09T23:25:32Z,09-Nov-2025,15:25:32,0.8627,1
Steller's Jay,Cyanocitta stelleri,2025-11-09T23:12:48Z,09-Nov-2025,15:12:48,0.93,1
Yellow-rumped Warbler,Setophaga coronata,2025-11-09T23:11:30Z,09-Nov-2025,15:11:30,0.31,1
Steller's Jay,Cyanocitta stelleri,2025-11-09T23:07:57Z,09-Nov-2025,15:07:57,0.26,1
White-crowned Sparrow,Zonotrichia leucophrys,2025-11-09T23:07:07Z,09-Nov-2025,15:07:07,0.26,1
Steller's Jay,Cyanocitta stelleri,2025-11-09T23:07:03Z,09-Nov-2025,15:07:03,0.8745,2
Anna's Hummingbird,Calypte anna,2025-11-09T23:02:54Z,09-Nov-2025,15:02:54,0.898,5
Steller's Jay,Cyanocitta stelleri,2025-11-09T23:02:09Z,09-Nov-2025,15:02:09,0.76,1
Steller's Jay,Cyanocitta stelleri,2025-11-09T23:02:03Z,09-Nov-2025,15:02:03,0.8,1
Anna's Hummingbird,Calypte anna,2025-11-09T23:01:24Z,09-Nov-2025,15:01:24,0.9882,10
Anna's Hummingbird,Calypte anna,2025-11-09T23:00:09Z,09-Nov-2025,15:00:09,0.9725,1
Northern Flicker,Colaptes auratus,2025-11-09T22:59:21Z,09-Nov-2025,14:59:21,0.77,1
Golden-crowned Kinglet,Regulus satrapa,2025-11-09T22:53:33Z,09-Nov-2025,14:53:33,0.35,1
Golden-crowned Kinglet,Regulus satrapa,2025-11-09T22:52:45Z,09-Nov-2025,14:52:45,0.37,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:44:06Z,09-Nov-2025,14:44:06,0.3,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:44:02Z,09-Nov-2025,14:44:02,0.8157,1
Downy Woodpecker,Dryobates pubescens,2025-11-09T22:42:36Z,09-Nov-2025,14:42:36,0.9686,1
Downy Woodpecker,Dryobates pubescens,2025-11-09T22:42:02Z,09-Nov-2025,14:42:02,0.34,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:41:04Z,09-Nov-2025,14:41:04,0.8314,4
Anna's Hummingbird,Calypte anna,2025-11-09T22:39:56Z,09-Nov-2025,14:39:56,0.9333,7
Anna's Hummingbird,Calypte anna,2025-11-09T22:37:33Z,09-Nov-2025,14:37:33,0.9882,20
Anna's Hummingbird,Calypte anna,2025-11-09T22:36:31Z,09-Nov-2025,14:36:31,0.9922,16
Anna's Hummingbird,Calypte anna,2025-11-09T22:35:40Z,09-Nov-2025,14:35:40,0.68,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:35:17Z,09-Nov-2025,14:35:17,0.58,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:35:10Z,09-Nov-2025,14:35:10,0.43,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:34:24Z,09-Nov-2025,14:34:24,0.9569,1
House Finch,Haemorhous mexicanus,2025-11-09T22:31:10Z,09-Nov-2025,14:31:10,0.36,1
Ruby-crowned Kinglet,Corthylio calendula,2025-11-09T22:28:12Z,09-Nov-2025,14:28:12,0.38,1
Ruby-crowned Kinglet,Corthylio calendula,2025-11-09T22:27:56Z,09-Nov-2025,14:27:56,0.57,1
Ruby-crowned Kinglet,Corthylio calendula,2025-11-09T22:25:36Z,09-Nov-2025,14:25:36,0.86,1
Dark-eyed Junco,Junco hyemalis,2025-11-09T22:16:33Z,09-Nov-2025,14:16:33,0.26,1
American Crow,Corvus brachyrhynchos,2025-11-09T22:09:31Z,09-Nov-2025,14:09:31,0.8157,1
American Crow,Corvus brachyrhynchos,2025-11-09T22:09:27Z,09-Nov-2025,14:09:27,0.59,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:03:03Z,09-Nov-2025,14:03:03,0.32,1
Anna's Hummingbird,Calypte anna,2025-11-09T22:02:24Z,09-Nov-2025,14:02:24,0.9333,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T22:01:01Z,09-Nov-2025,14:01:01,0.31,1
American Crow,Corvus brachyrhynchos,2025-11-09T21:59:30Z,09-Nov-2025,13:59:30,0.8314,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T21:58:59Z,09-Nov-2025,13:58:59,0.68,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T21:58:43Z,09-Nov-2025,13:58:43,0.72,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T21:58:22Z,09-Nov-2025,13:58:22,0.36,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T21:58:07Z,09-Nov-2025,13:58:07,0.56,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T21:57:54Z,09-Nov-2025,13:57:54,0.45,1
Dark-eyed Junco,Junco hyemalis,2025-11-09T21:55:19Z,09-Nov-2025,13:55:19,0.81,1
Dark-eyed Junco,Junco hyemalis,2025-11-09T21:55:15Z,09-Nov-2025,13:55:15,0.8,1
Anna's Hummingbird,Calypte anna,2025-11-09T21:50:46Z,09-Nov-2025,13:50:46,0.8745,1
Song Sparrow,Melospiza melodia,2025-11-09T21:46:15Z,09-Nov-2025,13:46:15,0.8745,1
Anna's Hummingbird,Calypte anna,2025-11-09T21:42:30Z,09-Nov-2025,13:42:30,0.8471,1
Dark-eyed Junco,Junco hyemalis,2025-11-09T21:27:18Z,09-Nov-2025,13:27:18,0.78,1
Dark-eyed Junco,Junco hyemalis,2025-11-09T21:26:55Z,09-Nov-2025,13:26:55,0.29,1
Dark-eyed Junco,Junco hyemalis,2025-11-09T21:26:49Z,09-Nov-2025,13:26:49,0.7804,1
Anna's Hummingbird,Calypte anna,2025-11-09T21:26:12Z,09-Nov-2025,13:26:12,0.9176,1
Anna's Hummingbird,Calypte anna,2025-11-09T21:24:31Z,09-Nov-2025,13:24:31,0.8314,1
Dark-eyed Junco,Junco hyemalis,2025-11-09T21:23:39Z,09-Nov-2025,13:23:39,0.43,1
American Goldfinch,Spinus tristis,2025-11-09T21:21:13Z,09-Nov-2025,13:21:13,0.26,1
American Crow,Corvus brachyrhynchos,2025-11-09T21:20:18Z,09-Nov-2025,13:20:18,0.7804,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T21:10:54Z,09-Nov-2025,13:10:54,0.92,1
Red-breasted Nuthatch,Sitta canadensis,2025-11-09T21:10:46Z,09-Nov-2025,13:10:46,0.98,1
Mourning Dove,Zenaida macroura,2025-11-09T21:10:39Z,09-Nov-2025,13:10:39,0.37,1
House Finch,Haemorhous mexicanus,2025-11-09T21:09:30Z,09-Nov-2025,13:09:30,0.26,1
