Species,UTC Date, Local Date, Local Time, Score, Count
Anna's Hummingbird,2024-01-22T23:55:47Z,22-Jan-2024,15:55:47,0.9412,1
Dark-eyed Junco,2024-01-22T23:52:17Z,22-Jan-2024,15:52:17,0.8078,1
American Crow,2024-01-22T23:49:20Z,22-Jan-2024,15:49:20,0.9216,1
Anna's Hummingbird,2024-01-22T23:17:11Z,22-Jan-2024,15:17:11,0.8392,3
Anna's Hummingbird,2024-01-22T23:15:38Z,22-Jan-2024,15:15:38,0.9804,1
American Crow,2024-01-22T23:06:04Z,22-Jan-2024,15:06:04,0.902,1
American Crow,2024-01-22T22:52:12Z,22-Jan-2024,14:52:12,0.9294,1
Anna's Hummingbird,2024-01-22T21:10:31Z,22-Jan-2024,13:10:31,0.9098,1
American Crow,2024-01-22T19:24:46Z,22-Jan-2024,11:24:46,0.902,1
Anna's Hummingbird,2024-01-22T17:57:30Z,22-Jan-2024,09:57:30,0.9529,1
Dark-eyed Junco,2024-01-22T17:50:30Z,22-Jan-2024,09:50:30,0.4,1
Bewick's Wren,2024-01-22T17:50:16Z,22-Jan-2024,09:50:16,0.95,1
Bewick's Wren,2024-01-22T17:50:09Z,22-Jan-2024,09:50:09,0.99,1
Bewick's Wren,2024-01-22T17:50:00Z,22-Jan-2024,09:50:00,0.79,1
Downy Woodpecker,2024-01-22T17:49:55Z,22-Jan-2024,09:49:55,0.7882,1
Dark-eyed Junco,2024-01-22T17:49:43Z,22-Jan-2024,09:49:43,0.8902,1
Dark-eyed Junco,2024-01-22T17:45:45Z,22-Jan-2024,09:45:45,0.8784,1
Red-breasted Nuthatch,2024-01-22T17:43:26Z,22-Jan-2024,09:43:26,0.77,1
Red-breasted Nuthatch,2024-01-22T17:41:35Z,22-Jan-2024,09:41:35,0.51,1
Red-breasted Nuthatch,2024-01-22T17:41:27Z,22-Jan-2024,09:41:27,0.84,1
Chestnut-backed Chickadee,2024-01-22T17:17:45Z,22-Jan-2024,09:17:45,0.8392,1
Chestnut-backed Chickadee,2024-01-22T17:11:22Z,22-Jan-2024,09:11:22,0.39,1
Chestnut-backed Chickadee,2024-01-22T17:10:52Z,22-Jan-2024,09:10:52,0.8902,1
Chestnut-backed Chickadee,2024-01-22T17:08:04Z,22-Jan-2024,09:08:04,0.9804,1
Anna's Hummingbird,2024-01-22T17:02:19Z,22-Jan-2024,09:02:19,0.949,1
Golden-crowned Kinglet,2024-01-22T16:55:04Z,22-Jan-2024,08:55:04,0.43,1
Golden-crowned Kinglet,2024-01-22T16:54:28Z,22-Jan-2024,08:54:28,0.88,1
Golden-crowned Kinglet,2024-01-22T16:52:49Z,22-Jan-2024,08:52:49,0.8,1
Golden-crowned Kinglet,2024-01-22T16:52:04Z,22-Jan-2024,08:52:04,0.51,1
Golden-crowned Kinglet,2024-01-22T16:51:52Z,22-Jan-2024,08:51:52,0.76,1
Anna's Hummingbird,2024-01-22T16:50:10Z,22-Jan-2024,08:50:10,0.9333,1
Chestnut-backed Chickadee,2024-01-22T16:46:31Z,22-Jan-2024,08:46:31,0.93,1
Chestnut-backed Chickadee,2024-01-22T16:45:42Z,22-Jan-2024,08:45:42,0.48,1
Chestnut-backed Chickadee,2024-01-22T16:45:34Z,22-Jan-2024,08:45:34,0.75,1
Chestnut-backed Chickadee,2024-01-22T16:45:23Z,22-Jan-2024,08:45:23,0.9,1
Chestnut-backed Chickadee,2024-01-22T16:45:19Z,22-Jan-2024,08:45:19,0.902,1
Chestnut-backed Chickadee,2024-01-22T16:44:18Z,22-Jan-2024,08:44:18,0.8235,1
Chestnut-backed Chickadee,2024-01-22T16:44:13Z,22-Jan-2024,08:44:13,0.56,1
Chestnut-backed Chickadee,2024-01-22T16:42:54Z,22-Jan-2024,08:42:54,0.65,1
Chestnut-backed Chickadee,2024-01-22T16:42:30Z,22-Jan-2024,08:42:30,0.57,1
Chestnut-backed Chickadee,2024-01-22T16:42:15Z,22-Jan-2024,08:42:15,0.9216,1
Chestnut-backed Chickadee,2024-01-22T16:42:10Z,22-Jan-2024,08:42:10,0.71,1
Red-breasted Nuthatch,2024-01-22T16:39:37Z,22-Jan-2024,08:39:37,0.7,1
Black-capped Chickadee,2024-01-22T16:37:16Z,22-Jan-2024,08:37:16,0.46,1
Black-capped Chickadee,2024-01-22T16:36:51Z,22-Jan-2024,08:36:51,0.902,1
Bewick's Wren,2024-01-22T16:35:01Z,22-Jan-2024,08:35:01,0.39,1
Red-breasted Nuthatch,2024-01-22T16:32:07Z,22-Jan-2024,08:32:07,0.73,1
Red-breasted Nuthatch,2024-01-22T16:30:04Z,22-Jan-2024,08:30:04,0.84,1
Steller's Jay,2024-01-22T16:05:10Z,22-Jan-2024,08:05:10,0.8235,1
Steller's Jay,2024-01-22T16:00:58Z,22-Jan-2024,08:00:58,0.9294,1
Anna's Hummingbird,2024-01-22T15:23:55Z,22-Jan-2024,07:23:55,0.9216,1
