Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
Anna's Hummingbird,Calypte anna,2024-11-27T23:52:29Z,27-Nov-2024,15:52:29,0.8471,1
Anna's Hummingbird,Calypte anna,2024-11-27T23:41:54Z,27-Nov-2024,15:41:54,0.8,1
House Finch,Haemorhous mexicanus,2024-11-27T23:39:33Z,27-Nov-2024,15:39:33,0.43,1
Ruby-crowned Kinglet,Corthylio calendula,2024-11-27T23:36:01Z,27-Nov-2024,15:36:01,0.37,1
American Crow,Corvus brachyrhynchos,2024-11-27T23:35:56Z,27-Nov-2024,15:35:56,0.7804,1
Anna's Hummingbird,Calypte anna,2024-11-27T23:28:57Z,27-Nov-2024,15:28:57,0.949,1
Northern Flicker,Colaptes auratus,2024-11-27T23:24:15Z,27-Nov-2024,15:24:15,0.28,1
American Crow,Corvus brachyrhynchos,2024-11-27T23:18:00Z,27-Nov-2024,15:18:00,0.9255,1
House Finch,Haemorhous mexicanus,2024-11-27T23:15:52Z,27-Nov-2024,15:15:52,0.54,1
Pine Siskin,Spinus pinus,2024-11-27T23:14:42Z,27-Nov-2024,15:14:42,0.53,1
Anna's Hummingbird,Calypte anna,2024-11-27T23:13:45Z,27-Nov-2024,15:13:45,0.9412,1
American Crow,Corvus brachyrhynchos,2024-11-27T23:12:18Z,27-Nov-2024,15:12:18,0.26,1
Steller's Jay,Cyanocitta stelleri,2024-11-27T23:08:05Z,27-Nov-2024,15:08:05,0.31,1
Anna's Hummingbird,Calypte anna,2024-11-27T23:04:12Z,27-Nov-2024,15:04:12,0.8157,1
American Crow,Corvus brachyrhynchos,2024-11-27T23:04:01Z,27-Nov-2024,15:04:01,0.898,1
Steller's Jay,Cyanocitta stelleri,2024-11-27T23:02:39Z,27-Nov-2024,15:02:39,0.8627,1
American Crow,Corvus brachyrhynchos,2024-11-27T23:01:56Z,27-Nov-2024,15:01:56,0.8314,1
Anna's Hummingbird,Calypte anna,2024-11-27T23:00:09Z,27-Nov-2024,15:00:09,0.8471,1
Anna's Hummingbird,Calypte anna,2024-11-27T22:49:52Z,27-Nov-2024,14:49:52,0.8745,10
Anna's Hummingbird,Calypte anna,2024-11-27T22:48:50Z,27-Nov-2024,14:48:50,0.8471,12
Anna's Hummingbird,Calypte anna,2024-11-27T22:47:42Z,27-Nov-2024,14:47:42,0.9569,1
House Finch,Haemorhous mexicanus,2024-11-27T22:47:27Z,27-Nov-2024,14:47:27,0.27,1
House Finch,Haemorhous mexicanus,2024-11-27T22:46:52Z,27-Nov-2024,14:46:52,0.78,1
House Finch,Haemorhous mexicanus,2024-11-27T22:46:45Z,27-Nov-2024,14:46:45,0.35,1
Anna's Hummingbird,Calypte anna,2024-11-27T22:41:30Z,27-Nov-2024,14:41:30,0.8157,3
Anna's Hummingbird,Calypte anna,2024-11-27T22:39:37Z,27-Nov-2024,14:39:37,0.9725,1
Steller's Jay,Cyanocitta stelleri,2024-11-27T22:38:33Z,27-Nov-2024,14:38:33,0.81,1
Steller's Jay,Cyanocitta stelleri,2024-11-27T22:37:45Z,27-Nov-2024,14:37:45,0.89,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:37:36Z,27-Nov-2024,14:37:36,0.87,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:37:28Z,27-Nov-2024,14:37:28,0.68,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:37:21Z,27-Nov-2024,14:37:21,0.57,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:37:15Z,27-Nov-2024,14:37:15,0.74,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:37:04Z,27-Nov-2024,14:37:04,0.59,1
Steller's Jay,Cyanocitta stelleri,2024-11-27T22:36:18Z,27-Nov-2024,14:36:18,0.8745,1
American Crow,Corvus brachyrhynchos,2024-11-27T22:35:28Z,27-Nov-2024,14:35:28,0.8157,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:35:19Z,27-Nov-2024,14:35:19,0.66,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:35:11Z,27-Nov-2024,14:35:11,0.39,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:35:01Z,27-Nov-2024,14:35:01,0.37,1
Anna's Hummingbird,Calypte anna,2024-11-27T22:34:54Z,27-Nov-2024,14:34:54,0.8745,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:34:48Z,27-Nov-2024,14:34:48,0.7,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:34:41Z,27-Nov-2024,14:34:41,0.52,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:34:15Z,27-Nov-2024,14:34:15,0.76,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:33:39Z,27-Nov-2024,14:33:39,0.66,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:33:28Z,27-Nov-2024,14:33:28,0.44,1
Brown Creeper,Certhia americana,2024-11-27T22:33:20Z,27-Nov-2024,14:33:20,0.38,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:33:13Z,27-Nov-2024,14:33:13,0.52,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:32:57Z,27-Nov-2024,14:32:57,0.85,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:32:46Z,27-Nov-2024,14:32:46,0.5,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:32:33Z,27-Nov-2024,14:32:33,0.44,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:30:24Z,27-Nov-2024,14:30:24,0.41,1
Steller's Jay,Cyanocitta stelleri,2024-11-27T22:28:42Z,27-Nov-2024,14:28:42,0.8314,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:28:31Z,27-Nov-2024,14:28:31,0.61,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:28:22Z,27-Nov-2024,14:28:22,0.66,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:26:54Z,27-Nov-2024,14:26:54,0.63,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:26:41Z,27-Nov-2024,14:26:41,0.41,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:26:18Z,27-Nov-2024,14:26:18,0.4,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:26:10Z,27-Nov-2024,14:26:10,0.82,1
Anna's Hummingbird,Calypte anna,2024-11-27T22:25:57Z,27-Nov-2024,14:25:57,0.8314,1
Golden-crowned Kinglet,Regulus satrapa,2024-11-27T22:25:46Z,27-Nov-2024,14:25:46,0.36,1
