Species,UTC Date, Local Date, Local Time, Score, Count
Anna's Hummingbird,2024-07-28T23:58:57Z,28-Jul-2024,16:58:57,0.8,1
Bushtit,2024-07-28T23:44:34Z,28-Jul-2024,16:44:34,0.89,1
Bushtit,2024-07-28T23:44:24Z,28-Jul-2024,16:44:24,0.72,1
Bushtit,2024-07-28T23:43:57Z,28-Jul-2024,16:43:57,0.97,1
Bushtit,2024-07-28T23:43:47Z,28-Jul-2024,16:43:47,0.87,1
Bushtit,2024-07-28T23:43:41Z,28-Jul-2024,16:43:41,0.96,1
Bushtit,2024-07-28T23:43:18Z,28-Jul-2024,16:43:18,0.73,1
Bushtit,2024-07-28T23:43:04Z,28-Jul-2024,16:43:04,0.64,1
Bushtit,2024-07-28T23:42:55Z,28-Jul-2024,16:42:55,0.8,1
Bushtit,2024-07-28T23:41:35Z,28-Jul-2024,16:41:35,0.49,1
Bushtit,2024-07-28T23:41:29Z,28-Jul-2024,16:41:29,0.49,1
Bushtit,2024-07-28T23:40:54Z,28-Jul-2024,16:40:54,0.83,1
Bushtit,2024-07-28T23:40:41Z,28-Jul-2024,16:40:41,0.94,1
Bushtit,2024-07-28T23:39:54Z,28-Jul-2024,16:39:54,0.97,1
Bushtit,2024-07-28T23:39:37Z,28-Jul-2024,16:39:37,0.96,1
Bushtit,2024-07-28T23:39:20Z,28-Jul-2024,16:39:20,0.92,1
Bushtit,2024-07-28T23:39:10Z,28-Jul-2024,16:39:10,0.8,1
Bushtit,2024-07-28T23:38:58Z,28-Jul-2024,16:38:58,0.89,1
Bushtit,2024-07-28T23:38:43Z,28-Jul-2024,16:38:43,0.88,1
Bushtit,2024-07-28T23:38:29Z,28-Jul-2024,16:38:29,0.83,1
Bushtit,2024-07-28T23:38:19Z,28-Jul-2024,16:38:19,0.98,1
Bushtit,2024-07-28T23:37:25Z,28-Jul-2024,16:37:25,0.44,1
Bushtit,2024-07-28T23:36:40Z,28-Jul-2024,16:36:40,0.36,1
Bushtit,2024-07-28T23:21:52Z,28-Jul-2024,16:21:52,0.27,1
Bushtit,2024-07-28T23:20:46Z,28-Jul-2024,16:20:46,0.92,1
Bushtit,2024-07-28T23:20:36Z,28-Jul-2024,16:20:36,0.91,1
Bushtit,2024-07-28T23:20:22Z,28-Jul-2024,16:20:22,0.88,1
American Crow,2024-07-28T23:02:55Z,28-Jul-2024,16:02:55,0.59,1
American Crow,2024-07-28T23:02:01Z,28-Jul-2024,16:02:01,0.8314,1
Bushtit,2024-07-28T22:05:19Z,28-Jul-2024,15:05:19,0.28,1
Bushtit,2024-07-28T22:05:07Z,28-Jul-2024,15:05:07,0.54,1
Bushtit,2024-07-28T22:03:49Z,28-Jul-2024,15:03:49,0.4,1
Bushtit,2024-07-28T22:03:43Z,28-Jul-2024,15:03:43,0.4,1
Bushtit,2024-07-28T21:57:34Z,28-Jul-2024,14:57:34,0.46,1
Bushtit,2024-07-28T21:53:50Z,28-Jul-2024,14:53:50,0.89,1
Bushtit,2024-07-28T21:14:39Z,28-Jul-2024,14:14:39,0.65,1
Bushtit,2024-07-28T21:14:24Z,28-Jul-2024,14:14:24,0.79,1
Bushtit,2024-07-28T21:12:07Z,28-Jul-2024,14:12:07,0.79,1
Bushtit,2024-07-28T21:12:02Z,28-Jul-2024,14:12:02,0.27,1
Cedar Waxwing,2024-07-28T21:07:28Z,28-Jul-2024,14:07:28,0.33,1
Anna's Hummingbird,2024-07-28T21:03:07Z,28-Jul-2024,14:03:07,0.8157,1
Anna's Hummingbird,2024-07-28T20:58:25Z,28-Jul-2024,13:58:25,0.33,1
Anna's Hummingbird,2024-07-28T20:38:52Z,28-Jul-2024,13:38:52,0.8314,1
Bushtit,2024-07-28T20:33:10Z,28-Jul-2024,13:33:10,0.46,1
Bushtit,2024-07-28T20:32:52Z,28-Jul-2024,13:32:52,0.75,1
Bushtit,2024-07-28T20:32:41Z,28-Jul-2024,13:32:41,0.76,1
